epsilon,avg_query_time_ns,avg_cache_hit_ratio,avg_index_cache_hit_ratio,data_IOs
8,147695,0.00856333,-nan,19082474
12,144472,0.0512399,-nan,18260588
16,141690,0.0726959,-nan,17847409
20,145106,0.0856117,-nan,17598336
28,142915,0.100304,-nan,17315541
40,139884,0.111339,-nan,17102381
56,139650,0.118632,-nan,16961170
64,140499,0.120909,-nan,16917437
80,138417,0.124008,-nan,16857794
96,140465,0.126195,-nan,16816593
112,137903,0.127682,-nan,16788044
128,137226,0.128865,-nan,16766242
