epsilon,avg_query_time_ns,avg_cache_hit_ratio,avg_index_cache_hit_ratio,data_IOs
8,123264,0.319241,-nan,13102777
12,130680,0.348906,-nan,12531473
16,125100,0.363074,-nan,12258623
20,130897,0.37162,-nan,12093810
28,139133,0.381556,-nan,11902560
40,127313,0.388851,-nan,11761630
56,132058,0.393726,-nan,11667228
64,136199,0.395271,-nan,11637538
80,126595,0.397412,-nan,11596339
96,127787,0.398854,-nan,11569196
112,129934,0.39985,-nan,11550073
128,126237,0.400603,-nan,11536256
