batch,avg_latency_ns,p50_ns,p95_ns,p99_ns,avg_walltime_s,avg_IOs,data_IO_time,hit_ratio
1,149662.223041,157959.000000,313172.000000,404981.000000,9.540052,145953,14095414886,0.857867
2,692832.889806,268737.000000,3346314.000000,7235317.000000,25.175644,145793,35748409980,0.858022
4,280849.355330,285406.000000,434917.000000,540042.000000,4.925456,145734,7766037550,0.858080
8,432581.067693,390169.000000,620636.000000,2350842.000000,3.745171,146028,5915984787,0.857794
16,581713.378417,568240.000000,791812.000000,952692.000000,2.485185,145644,3722662431,0.858167
32,897747.522619,868558.000000,1188615.000000,1409365.000000,1.902861,145663,2549026369,0.858149
64,3832798.382912,1616492.000000,10692566.000000,11940322.000000,4.160039,145907,7048879421,0.857911
128,7384235.631405,7203473.000000,11763644.000000,13232336.000000,4.208985,145142,7204294133,0.858656
256,9197473.610381,8990659.000000,14081221.000000,17380802.000000,2.536885,144735,3879889865,0.859053
512,12305612.660585,11944489.000000,17829825.000000,21368807.000000,1.784478,143132,2366894111,0.860614
1024,18483782.431269,17956437.000000,25510871.000000,38055373.000000,1.392123,140691,1547305869,0.862991
2048,31353410.004659,29798109.000000,50943998.000000,61109785.000000,1.357501,136782,1336981719,0.866798
4096,54244773.916034,51388316.000000,95253391.000000,105075606.000000,1.272630,131010,1045797636,0.872418
1,192849.486069,155490.000000,342145.000000,1518543.000000,12.134919,146082,18996193594,0.857741
2,204953.376062,187278.000000,361657.000000,439239.000000,7.278581,145985,11354011899,0.857835
4,299510.460710,285367.000000,454369.000000,1272842.000000,5.293160,145667,8422899049,0.858145
8,1570868.202231,433570.000000,7088409.000000,10388953.000000,13.649485,145538,22469473829,0.858271
16,2085185.244827,705935.000000,8929208.000000,11657645.000000,8.740069,146387,15571095965,0.857444
32,847476.956690,820246.000000,1116370.000000,1360394.000000,1.807513,145826,2491864512,0.857990
64,1350230.695507,1325666.000000,1753619.000000,2113468.000000,1.488880,145831,1916294703,0.857985
128,2396546.452805,2324833.000000,2966729.000000,3677714.000000,1.267446,144929,1381647674,0.858864
256,4216821.772440,4157143.000000,4865601.000000,7046836.000000,1.129919,144205,1086619479,0.859569
512,8387134.061515,8092004.000000,10512322.000000,12972755.000000,1.142817,143091,1025735474,0.860654
1024,13464788.260859,12068195.000000,20930260.000000,28511377.000000,1.199631,142480,808371129,0.861249
2048,26778135.470765,24338185.000000,44485994.000000,61137795.000000,1.191138,138564,745929335,0.865062
4096,49499188.069478,46959016.000000,82411460.000000,108066282.000000,1.227315,132661,689444706,0.870811
1,147255.459756,153856.000000,306004.000000,386847.000000,9.286809,145913,14215264771,0.857906
2,730252.315940,286114.000000,3422663.000000,7189839.000000,26.354072,146080,38001978205,0.857743
4,296059.062909,293230.000000,467799.000000,578831.000000,5.190563,146223,8261312018,0.857604
8,437961.609490,392553.000000,644127.000000,2352381.000000,3.803408,145916,5981568344,0.857903
16,579648.533685,564410.000000,790369.000000,964378.000000,2.476458,145884,3644220607,0.857934
32,2544971.028447,905956.000000,8891887.000000,11611335.000000,5.595782,145718,9831221291,0.858095
64,7323683.976255,6332931.000000,11883725.000000,12654121.000000,7.866986,145850,14442265775,0.857967
128,7366680.141646,6939147.000000,11866189.000000,12835418.000000,4.152331,145113,7090834417,0.858685
256,5670268.171012,4765113.000000,10847488.000000,14128290.000000,1.508785,143984,1826622800,0.859784
512,7907253.610164,8471370.000000,10016566.000000,14490884.000000,1.198448,143540,1031636093,0.860216
1024,14565251.329117,13696561.000000,22576781.000000,31259901.000000,1.222986,141933,841454144,0.861781
2048,25473287.125924,23233367.000000,39920453.000000,43962853.000000,1.158474,138832,739883961,0.864801
4096,50904905.836907,48288102.000000,83081925.000000,95472785.000000,1.164069,131816,696383068,0.871634
