epsilon,avg_query_time_ns,avg_cache_hit_ratio,avg_index_cache_hit_ratio,data_IOs
8,49085,0.715106,-nan,2876858
10,48095,0.722759,-nan,2804540
12,47447,0.727646,-nan,2760753
14,46830,0.730903,-nan,2732398
16,45433,0.733296,-nan,2713648
18,46637,0.735226,-nan,2701194
20,45579,0.736442,-nan,2693000
24,45621,0.738341,-nan,2686046
32,46518,0.739599,-nan,2690942
48,45841,0.738396,-nan,2733000
64,47280,0.736701,-nan,2792595
128,53111,0.741538,-nan,3071850
256,61077,0.735596,-nan,3654104
