epsilon,avg_query_time_ns,avg_cache_hit_ratio,avg_index_cache_hit_ratio,data_IOs
8,48808,0.713747,-nan,2890580
10,47678,0.72153,-nan,2816973
12,51653,0.726494,-nan,2772431
14,46878,0.72978,-nan,2743806
16,46813,0.732212,-nan,2724671
18,45029,0.734162,-nan,2712044
20,46478,0.735403,-nan,2703615
24,45046,0.737335,-nan,2696374
32,45251,0.738609,-nan,2701174
48,46493,0.73743,-nan,2743093
64,47451,0.735719,-nan,2803007
128,51238,0.740567,-nan,3083383
256,69342,0.734513,-nan,3669071
