threads,epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s
1,16,3609.835910,3.609836,390253,1.915399
1,16,3629.361579,3.629362,390253,2.090345
1,16,3894.007199,3.894007,390253,2.166493
1,16,2823.058627,2.823059,390253,1.068546
1,16,3602.565924,3.602566,390253,2.073111
1,16,2477.542156,2.477542,390253,0.905803
1,16,3703.175914,3.703176,390253,2.160683
1,16,2391.404437,2.391404,390253,0.878668
1,16,3646.166310,3.646166,390253,2.107967
1,16,2475.380600,2.475381,390253,0.907898
