epsilon,avg_latency_ns,total_wall_time_s,IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,cache_hit_ratio
16,9184.781839,9.184984,43914,7.861104,1.323879,0.855865,0.144135,0.665131
16,10370.199771,10.370549,43886,8.939880,1.430669,0.862045,0.137955,0.665131
16,14247.737055,14.248019,43872,12.722684,1.525335,0.892944,0.107056,0.665131
