epsilon,avg_query_time_ns,avg_cache_hit_ratio,avg_index_cache_hit_ratio,data_IOs
8,126397,0.318957,-nan,13108232
12,125937,0.348589,-nan,12537577
16,125789,0.362844,-nan,12263052
20,126018,0.371473,-nan,12096643
28,125084,0.381359,-nan,11906360
40,129072,0.388668,-nan,11765153
56,124486,0.393547,-nan,11670665
64,124198,0.39507,-nan,11641413
80,126586,0.397202,-nan,11600375
96,126873,0.398688,-nan,11572389
112,125991,0.399701,-nan,11552940
128,123289,0.400424,-nan,11539704
