batch,avg_latency_ns,p50_ns,p95_ns,p99_ns,avg_walltime_s,avg_IOs,data_IO_time,hit_ratio
1,659617.610649,388531.000000,2200660.000000,7097647.000000,41.705620,898145,78906882220,0.125359
2,977544.491395,477361.000000,4668477.000000,9546038.000000,32.840790,798609,61159009563,0.222290
4,1562057.378716,581552.000000,7312034.000000,10597051.000000,26.295551,676853,49572354517,0.340860
8,2708586.636095,785562.000000,10224614.000000,11868102.000000,22.180849,568508,42213773826,0.446370
16,1079970.665959,1017680.000000,1572833.000000,2447087.000000,4.767607,493889,8304386813,0.519036
32,1370880.989398,1345090.000000,1782510.000000,2090972.000000,3.028375,443477,5040129586,0.568129
64,6553976.267896,6444332.000000,11974430.000000,12690750.000000,7.180414,416574,13234570394,0.594328
128,8224840.318240,7877038.000000,12755920.000000,14482031.000000,4.783137,396122,8469915031,0.614244
256,10474370.497424,10279907.000000,14812973.000000,17521650.000000,2.947369,377197,4817043519,0.632674
512,15219542.810213,14709901.000000,21570412.000000,24795699.000000,2.223570,362731,3340723692,0.646762
1024,26204722.534358,26262045.000000,36205789.000000,45494699.000000,2.009923,346108,2779782333,0.662950
2048,54141039.233622,55930651.000000,66854993.000000,73483050.000000,1.950170,323039,2436511861,0.685415
4096,79148495.554352,74894857.000000,124682215.000000,134411421.000000,1.833417,309556,1966903429,0.698545
1,657746.856475,388395.000000,2180040.000000,7013612.000000,41.621691,902138,79432611834,0.121471
2,1023505.216643,531080.000000,4709931.000000,10145780.000000,34.190511,810315,64338761340,0.210891
4,1538266.411266,573836.000000,7588898.000000,10641386.000000,25.828610,678654,48851714026,0.339106
8,2704830.754112,872398.000000,9976310.000000,11793788.000000,22.440441,572532,42883608118,0.442451
16,1035415.586599,993143.000000,1489175.000000,1787727.000000,4.482923,493661,7670492333,0.519258
32,1505355.111521,1412315.000000,2448352.000000,2886027.000000,3.286072,444448,5478582404,0.567183
64,3278350.578396,2055231.000000,9493433.000000,12330451.000000,3.500311,412643,6015834595,0.598156
128,8460387.804455,8143269.000000,12839117.000000,13982149.000000,4.901553,396358,8755600165,0.614015
256,10905437.620260,10756174.000000,15708144.000000,18077475.000000,3.156444,378508,5245651029,0.631397
512,15783745.371566,15426807.000000,22680456.000000,26255341.000000,2.324038,362828,3495646316,0.646667
1024,25981958.593781,25997520.000000,34270033.000000,41688168.000000,1.926556,344449,2671445485,0.664565
2048,50986429.046271,52589098.000000,66232064.000000,82529016.000000,1.944792,324896,2433986270,0.683606
4096,93380054.943279,88149992.000000,150176494.000000,155151256.000000,2.230484,308639,2419614170,0.699438
1,715545.810260,396165.000000,2589501.000000,7215359.000000,44.845195,903730,85794224389,0.119920
2,964320.482574,459765.000000,4642460.000000,9061462.000000,32.348697,794810,61109137694,0.225990
4,1606337.618977,641302.000000,7501544.000000,10661000.000000,26.823768,683879,50518591647,0.334018
8,1398599.974799,757652.000000,6233712.000000,10625539.000000,11.807908,575078,22029801457,0.439972
16,3563547.171618,2051169.000000,10395984.000000,11938931.000000,14.661969,502983,28059650913,0.510180
32,1366725.088530,1341767.000000,1770357.000000,2068944.000000,2.993234,441738,4895782695,0.569822
64,2158249.004995,2039320.000000,3094538.000000,4008708.000000,2.351944,411439,3678093115,0.599328
128,3344922.018874,3255158.000000,4195812.000000,5397041.000000,1.795378,390307,2518718729,0.619907
256,5693999.471281,5672984.000000,6804848.000000,7589282.000000,1.504708,375508,1975185485,0.634319
512,11077012.632738,10976870.000000,15521003.000000,18571742.000000,1.643289,364520,2025222650,0.645019
1024,26868921.218348,27024646.000000,34219116.000000,41796508.000000,1.996251,344606,2771985927,0.664412
2048,56180952.655423,57609275.000000,63806921.000000,66991893.000000,1.935237,319556,2567119788,0.688807
4096,94428586.031245,96899143.000000,113987233.000000,130741863.000000,1.713405,286259,2099227154,0.721232
