policy,workload,cache_MiB,cache_pages,ops,hit_ratio,avg_latency_ns,avg_miss_io_ns,hits,misses,evictions,io_bytes,io_physical_ios
LFU,simple,1,244,1000000,0.919398,4423.39,50002.6,971623,85181,84937,348901376,85181
FIFO,simple,32,7812,1000000,0.981517,1285.51,62029,1037271,19533,11721,80007168,19533
LRU,simple,32,7812,1000000,0.981517,1322.83,61176.3,1037271,19533,11721,80007168,19533
LFU,simple,32,7812,1000000,0.960862,3455.1,79570.5,1015443,41361,33549,169414656,41361
FIFO,simple,512,125000,1000000,0.981517,2406.38,118484,1037271,19533,0,80007168,19533
LRU,simple,512,125000,1000000,0.981517,2456.01,116380,1037271,19533,0,80007168,19533
LFU,simple,512,125000,1000000,0.981517,2448.64,115673,1037271,19533,0,80007168,19533
FIFO,simple,4096,1000000,1000000,0.981517,2387.35,116673,1037271,19533,0,80007168,19533
LRU,simple,4096,1000000,1000000,0.981517,2425.54,116074,1037271,19533,0,80007168,19533
LFU,simple,4096,1000000,1000000,0.981517,2449.58,115347,1037271,19533,0,80007168,19533
