batch,avg_latency_ns,p50_ns,p95_ns,p99_ns,avg_walltime_s,avg_IOs,data_IO_time,hit_ratio
1,203531.292234,197392.000000,354145.000000,426172.000000,12.993179,276371,21788463445,0.730862
2,530531.814031,285347.000000,2421681.000000,6033774.000000,19.064806,276199,31065017539,0.731029
4,754220.913352,372686.000000,3141947.000000,7054462.000000,13.260421,276039,22891154272,0.731185
8,540186.640728,496428.000000,762255.000000,2402745.000000,4.756766,276165,7910324130,0.731062
16,3582970.905643,3022392.000000,9904537.000000,11914052.000000,15.591209,276017,29174224788,0.731206
32,2379542.429453,1325503.000000,8587664.000000,11715801.000000,5.310901,275574,9336162792,0.731638
64,1715816.775725,1675522.000000,2150015.000000,2734231.000000,1.815666,275295,2474371043,0.731909
128,2983842.840356,2933235.000000,3522957.000000,4922522.000000,1.582808,274546,1936679629,0.732639
256,5633831.093374,5555291.000000,6924459.000000,7586191.000000,1.486740,272784,1667452900,0.734355
512,10013166.123219,10129247.000000,10970767.000000,12351516.000000,1.375964,269408,1413392410,0.737642
1024,17422561.027193,16640258.000000,26892310.000000,31691369.000000,1.488681,266874,1314391470,0.740110
2048,36212402.406997,37823431.000000,50957717.000000,60285150.000000,1.582691,258906,1288270080,0.747870
4096,59593605.537978,65035859.000000,88146459.000000,99279704.000000,1.497672,246696,1103786234,0.759760
1,464118.963881,232961.000000,2052400.000000,5927222.000000,29.213538,276156,48477667103,0.731071
2,275471.442782,273332.000000,430826.000000,553526.000000,9.618904,276235,16606702667,0.730994
4,991419.696590,382114.000000,5422592.000000,8808644.000000,18.215552,276174,31025281113,0.731053
8,1022131.211619,531384.000000,4392525.000000,8616639.000000,8.825467,276367,15455031766,0.730865
16,797205.077028,727647.000000,1252688.000000,2490055.000000,3.474734,276113,5574002210,0.731113
32,1105907.206018,1082637.000000,1407022.000000,1756513.000000,2.379385,275970,3510774648,0.731252
64,4249015.386352,2010654.000000,11358456.000000,12172697.000000,4.569271,275425,7901969784,0.731783
128,7880127.096390,7669627.000000,12428758.000000,13794418.000000,4.558677,275016,7795517017,0.732181
256,10397907.827925,10219421.000000,15347433.000000,17643727.000000,2.969569,273354,4609376077,0.733800
512,14538755.683717,14173715.000000,20186020.000000,22665303.000000,2.108478,270607,2926638694,0.736475
1024,24050806.138029,23336787.000000,32114063.000000,39594210.000000,1.762699,264208,2162115825,0.742706
2048,41148041.313838,40739285.000000,59009448.000000,67988271.000000,1.584520,254512,1765468301,0.752149
4096,67073527.330051,66919971.000000,100248984.000000,106375193.000000,1.451466,240542,1404116163,0.765753
1,235689.190757,203415.000000,395047.000000,1163332.000000,15.100374,276053,26225091707,0.731171
2,326914.809359,274501.000000,455531.000000,2504781.000000,12.299486,276013,20647112589,0.731210
4,1136578.013014,397196.000000,5806843.000000,8863499.000000,19.955838,276345,34553605000,0.730887
8,539391.063850,496919.000000,763591.000000,2398665.000000,4.731728,276140,7861768501,0.731087
16,2455971.736559,804235.000000,8869209.000000,11744690.000000,10.654807,275963,19530774179,0.731259
32,4572425.632733,3353108.000000,11458444.000000,12400287.000000,10.089188,275205,18779185499,0.731997
64,1640388.575920,1619155.000000,1970865.000000,2397964.000000,1.736138,275900,2383544044,0.731320
128,2988349.192693,2959441.000000,3707386.000000,4283629.000000,1.599481,274570,1977046936,0.732615
256,5463258.591932,5486976.000000,6087027.000000,6414384.000000,1.436833,272677,1636306054,0.734459
512,9995106.941776,10077226.000000,11739507.000000,13927136.000000,1.395934,269990,1420736441,0.737076
1024,18622398.438221,17507070.000000,28564747.000000,31109149.000000,1.552089,267133,1311143268,0.739858
2048,34699359.732964,35143508.000000,49285623.000000,57050165.000000,1.486451,258323,1147865702,0.748437
4096,65690826.568255,65874225.000000,99494105.000000,109207013.000000,1.587494,245895,1171576689,0.760540
