epsilon,threads,avg_latency_ns,wall_s,hit_ratio,avg_IOs,data_io_ns
4,1,65251.049958,65.251050,0.013445,6415483,22746557711
8,1,61456.106133,61.456106,0.140214,5596808,20425590545
12,1,69862.588443,69.862588,0.182337,5325838,27169615521
16,1,61585.679840,61.585680,0.203102,5200167,19906094911
20,1,61379.198288,61.379198,0.215372,5125644,19726219610
24,1,68739.860718,68.739861,0.223748,5074739,26641437138
32,1,61853.819340,61.853819,0.233911,5020046,19733359096
48,1,68891.882061,68.891882,0.244492,4972804,26505317677
64,1,61216.708246,61.216708,0.249717,4961482,19538167286
128,1,62884.486308,62.884486,0.257485,4996054,19985270015
