epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,cache_hit_ratio
16,3701.350188,3.768571,40492,2.526287,1.242284,0.670357,0.329643,0.660261
16,3721.941189,3.789130,40452,2.513055,1.276076,0.663227,0.336773,0.660261
16,3702.135743,3.769577,40537,2.533711,1.235866,0.672147,0.327853,0.660261
16,3702.928031,3.770089,40528,2.532766,1.237323,0.671805,0.328195,0.660261
16,3696.970972,3.765619,40563,2.498214,1.267405,0.663427,0.336573,0.660261
16,3806.030351,3.873520,40409,2.552848,1.320672,0.659051,0.340949,0.660261
16,3745.495326,3.812613,40394,2.530478,1.282135,0.663712,0.336288,0.660261
16,3753.470317,3.820878,40380,2.552612,1.268266,0.668069,0.331931,0.660261
16,3769.709315,3.837368,40368,2.529620,1.307749,0.659207,0.340793,0.660261
16,3719.125523,3.786555,40406,2.572743,1.213812,0.679442,0.320558,0.660261
