epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,cache_hit_ratio
16,5921.411783,5.921801,916377,4.312599,1.609202,0.728258,0.271742,0.071244
16,5674.238035,5.674537,915660,4.205380,1.469158,0.741096,0.258904,0.071394
16,5612.266965,5.612615,915370,4.159737,1.452878,0.741141,0.258859,0.071568
16,5985.712868,5.986030,915574,4.391741,1.594289,0.733665,0.266335,0.071522
16,5949.078650,5.949311,917036,4.265732,1.683578,0.717013,0.282987,0.070963
16,5703.600477,5.703993,915322,4.128747,1.575246,0.723834,0.276166,0.071614
16,5892.508005,5.892703,915520,4.353699,1.539004,0.738829,0.261171,0.071548
16,5890.607745,5.890971,916249,4.309583,1.581387,0.731557,0.268443,0.071203
16,5700.523154,5.700741,915959,4.103082,1.597659,0.719745,0.280255,0.071367
16,5684.064321,5.684395,914735,4.122747,1.561647,0.725275,0.274725,0.071799
