threads,avg_latency_ns,avg_walltime_s,avg_IOs
1,6469.399674,6.469850,164838
2,10364.957848,5.199360,166467
4,17382.659554,4.437649,159202
8,30431.386941,3.808481,154375
16,37783.721647,2.364178,162583
32,43325.807934,1.357440,168986
64,53693.292101,0.862271,181260
128,78539.700721,0.654028,206220
256,160944.094369,0.692845,203342
512,280925.503385,0.637305,201343
1024,494176.229543,0.605862,195985
2048,1055643.371935,0.869105,184928
4096,1561082.573637,0.972963,166237
8192,1489318.746582,0.966122,132246
16384,2869133.551594,1.214605,153544
