epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,cache_hit_ratio
6,5527.811836,11.055888,387511,8.870382,2.185506,0.802322,0.197678,0.811389
10,6758.769330,13.517875,387746,9.218917,4.298958,0.681980,0.318020,0.814124
12,5791.555234,11.583305,387832,9.244482,2.338823,0.798087,0.201913,0.815457
14,5739.255163,11.478713,387950,9.064672,2.414041,0.789694,0.210306,0.816781
16,5802.274890,11.604843,388031,9.121157,2.483686,0.785978,0.214022,0.818097
18,5745.883454,11.492077,388111,8.959766,2.532311,0.779647,0.220353,0.819366
20,5772.917484,11.546183,388187,9.021448,2.524735,0.781336,0.218664,0.820644
24,5520.785959,11.041765,388336,9.062282,1.979483,0.820728,0.179272,0.823102
32,5671.865392,11.344012,388653,8.832892,2.511120,0.778639,0.221361,0.827853
48,9917.666456,19.835539,389121,16.736358,3.099181,0.843756,0.156244,0.836656
64,5667.235244,11.334803,389468,8.848850,2.485953,0.780680,0.219320,0.844668
6,5445.679855,10.891724,387511,8.674934,2.216790,0.796470,0.203530,0.811389
10,5695.227929,11.390754,387746,8.838788,2.551966,0.775962,0.224038,0.814124
12,5698.408390,11.397115,387832,8.921935,2.475179,0.782824,0.217176,0.815457
14,5654.376922,11.309046,387950,8.810973,2.498073,0.779108,0.220892,0.816781
16,8021.020004,16.042367,388031,13.446532,2.595835,0.838189,0.161811,0.818097
18,10905.217867,21.810736,388111,18.325031,3.485705,0.840184,0.159816,0.819366
20,8667.252248,17.334822,388187,14.596564,2.738257,0.842037,0.157963,0.820644
24,10439.607186,20.879526,388336,17.897805,2.981721,0.857194,0.142806,0.823102
32,5761.877691,11.524058,388653,8.972807,2.551251,0.778615,0.221385,0.827853
48,5722.467075,11.445143,389121,8.828142,2.617001,0.771344,0.228656,0.836656
64,5730.658208,11.461664,389468,9.012604,2.449060,0.786326,0.213674,0.844668
6,5467.370864,10.935062,387511,8.662899,2.272164,0.792213,0.207787,0.811389
10,5555.628889,11.111610,387746,8.853365,2.258245,0.796767,0.203233,0.814124
12,5715.369139,11.431032,387832,8.878352,2.552680,0.776689,0.223311,0.815457
14,5705.777022,11.411863,387950,8.986325,2.425538,0.787455,0.212545,0.816781
16,5712.420581,11.425151,388031,8.859246,2.565904,0.775416,0.224584,0.818097
18,5622.011852,11.244330,388111,8.893406,2.350924,0.790924,0.209076,0.819366
20,5819.157619,11.638640,388187,9.133191,2.505449,0.784730,0.215270,0.820644
24,5656.108909,11.312505,388336,8.768346,2.544159,0.775102,0.224898,0.823102
32,5657.458950,11.315231,388653,8.998910,2.316321,0.795292,0.204708,0.827853
48,5673.267647,11.346840,389121,8.751475,2.595365,0.771270,0.228730,0.836656
64,5673.404139,11.347017,389468,8.906831,2.440186,0.784949,0.215051,0.844668
6,5558.869666,11.117949,387511,8.794051,2.323897,0.790978,0.209022,0.811389
10,5656.215756,11.312729,387746,8.840812,2.471917,0.781492,0.218508,0.814124
12,5479.954572,10.960189,387832,8.918752,2.041437,0.813741,0.186259,0.815457
14,5665.309321,11.330913,387950,8.755164,2.575750,0.772679,0.227321,0.816781
16,8979.321655,17.958945,388031,15.411395,2.547550,0.858146,0.141854,0.818097
18,6988.699115,13.977708,388111,11.408339,2.569370,0.816181,0.183819,0.819366
20,8126.843856,16.254010,388187,13.420994,2.833016,0.825704,0.174296,0.820644
24,5752.159747,11.504653,388336,8.903230,2.601422,0.773881,0.226119,0.823102
32,5707.214121,11.414635,388653,8.792047,2.622588,0.770243,0.229757,0.827853
48,5711.616581,11.423421,389121,8.831945,2.591475,0.773144,0.226856,0.836656
64,5677.279790,11.354860,389468,8.875930,2.478931,0.781685,0.218315,0.844668
6,5398.965315,10.798259,387511,8.578491,2.219768,0.794433,0.205567,0.811389
10,5668.165848,11.336622,387746,8.767406,2.569216,0.773370,0.226630,0.814124
12,5598.636237,11.197616,387832,8.884115,2.313500,0.793393,0.206607,0.815457
14,5849.425720,11.699147,387950,9.139416,2.559731,0.781204,0.218796,0.816781
16,6148.980033,12.298303,388031,9.710455,2.587848,0.789577,0.210423,0.818097
18,8919.575530,17.839456,388111,14.910348,2.929107,0.835807,0.164193,0.819366
20,7388.732164,14.777669,388187,12.211189,2.566479,0.826327,0.173673,0.820644
24,7882.902638,15.766100,388336,12.842978,2.923122,0.814594,0.185406,0.823102
32,5529.603813,11.059394,388653,8.852955,2.206439,0.800492,0.199508,0.827853
48,5727.251226,11.454796,389121,8.947745,2.507051,0.781135,0.218865,0.836656
64,5585.264391,11.170830,389468,8.689278,2.481552,0.777854,0.222146,0.844668
