epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,cache_hit_ratio
16,3717.975956,3.786317,44027,2.503621,1.282696,0.661229,0.338771,0.665042
16,3584.165767,3.656329,44180,2.458950,1.197378,0.672519,0.327481,0.665042
16,4764.988034,4.833956,44338,2.609463,2.224494,0.539819,0.460181,0.665042
16,3586.883156,3.655055,44246,2.476066,1.178990,0.677436,0.322564,0.665042
16,3620.599031,3.688095,44094,2.520949,1.167146,0.683537,0.316463,0.665042
16,3681.107531,3.748242,44154,2.532977,1.215264,0.675777,0.324223,0.665042
16,3584.673250,3.652254,44220,2.443668,1.208586,0.669085,0.330915,0.665042
16,3527.513073,3.595904,44072,2.459443,1.136461,0.683957,0.316043,0.665042
16,3602.391707,3.670486,44042,2.492119,1.178367,0.678962,0.321038,0.665042
16,4667.641490,4.736362,44655,2.573370,2.162993,0.543322,0.456678,0.665042
