batch,avg_latency_ns,p50_ns,p95_ns,p99_ns,avg_walltime_s,avg_IOs,data_IO_time,hit_ratio
1,45847.436509,14709.000000,145672.000000,150976.000000,45.899990,275356,33164831107,0.731850
2,99329.910636,17556.000000,151331.000000,963372.000000,50.319503,275352,43763381827,0.731854
4,106008.649973,139932.000000,156499.000000,256762.000000,27.267592,275347,23870434457,0.731859
8,246912.895589,145505.000000,440581.000000,3110277.000000,41.294538,275349,38558961412,0.731857
16,227881.486048,268416.000000,393006.000000,420268.000000,18.488464,275338,16749904330,0.731868
32,730770.009561,310076.000000,3541349.000000,7407149.000000,28.507269,275317,26701813798,0.731888
64,413275.326387,441081.000000,595159.000000,683494.000000,8.368827,275287,7121312353,0.731917
128,614706.693762,621039.000000,856071.000000,2332680.000000,6.412431,275185,5219247453,0.732017
256,2931105.055995,1011882.000000,10090106.000000,11545215.000000,13.603323,274946,12411009539,0.732249
512,3501770.508556,1934146.000000,8957186.000000,11027728.000000,8.676538,274613,7465989837,0.732574
1024,2091550.190796,2309914.000000,2710467.000000,3183708.000000,3.176947,273863,1837023498,0.733304
2048,3381175.523098,3740707.000000,4183057.000000,4394142.000000,2.703856,272061,1352909752,0.735059
4096,5667650.595307,6200226.000000,7004778.000000,7645953.000000,2.314405,268219,1063088452,0.738800
1,45220.682434,13160.000000,145498.000000,150470.000000,45.261033,275356,33332133586,0.731850
2,99211.695798,16975.000000,151386.000000,956057.000000,50.213961,275352,44030553336,0.731854
4,105076.715015,138834.000000,154671.000000,255330.000000,27.060940,275346,23626283862,0.731860
8,246257.784473,145090.000000,439236.000000,3112794.000000,41.113219,275342,38396520382,0.731864
16,226919.834204,266014.000000,391519.000000,419316.000000,18.390738,275341,16620501350,0.731865
32,730169.115107,312941.000000,3564039.000000,7402545.000000,28.325528,275316,26553561441,0.731889
64,423877.715310,432139.000000,628389.000000,1255110.000000,8.777470,275276,7404127646,0.731928
128,2304500.721540,718484.000000,8911143.000000,11609802.000000,21.262622,275172,19763597295,0.732029
256,953457.847890,924012.000000,2026554.000000,2225160.000000,5.141942,274961,3929395609,0.732235
512,1274925.032321,1423873.000000,1710232.000000,1832467.000000,3.696484,274631,2492660269,0.732556
1024,2166598.916985,2384856.000000,3014654.000000,3557935.000000,3.277953,273869,1917171218,0.733298
2048,3356544.315589,3696767.000000,4164535.000000,4502602.000000,2.691471,272008,1342476679,0.735110
4096,5811148.932038,6280169.000000,8030581.000000,8797221.000000,2.339154,268270,1097333070,0.738751
1,59820.530698,14928.000000,145924.000000,317792.000000,59.865132,275356,47214847615,0.731850
2,69357.407006,15493.000000,147153.000000,154478.000000,35.267467,275352,29282581161,0.731854
4,164329.917033,138601.000000,258951.000000,2460776.000000,42.462008,275346,38575333040,0.731860
8,150920.288689,143346.000000,282781.000000,356354.000000,25.444927,275344,23048046752,0.731862
16,422949.393796,271038.000000,1451173.000000,5602331.000000,34.096101,275336,32096891260,0.731869
32,304471.981019,299400.000000,436982.000000,543889.000000,12.210247,275314,10733316103,0.731891
64,1317754.626076,462354.000000,6019533.000000,10146853.000000,24.334297,275275,22955274963,0.731929
128,572627.603595,606806.000000,815720.000000,911281.000000,6.086759,275173,4844644735,0.732028
256,897693.718941,935914.000000,1240894.000000,2429042.000000,4.908090,274991,3674912756,0.732205
512,1390165.166235,1515013.000000,1878973.000000,2065502.000000,4.488462,274671,2521204967,0.732517
1024,6317904.432302,6324374.000000,12468004.000000,12985720.000000,7.915472,273780,6448021166,0.733385
2048,9736858.177162,10092320.000000,14389908.000000,16269044.000000,6.187378,271746,4810227991,0.735366
4096,13007545.382216,13494458.000000,17988447.000000,18913610.000000,4.304947,268043,2994945622,0.738972
