epsilon,threads,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s
16,1,4220870001.000000,4.220870,390626,1.897475
16,1,4318705825.000000,4.318706,390626,1.897382
16,1,4227527230.000000,4.227527,390626,1.872740
16,1,4167852106.000000,4.167852,390626,1.838927
16,1,4163289035.000000,4.163289,390626,1.839682
16,1,4201081636.000000,4.201082,390626,1.835563
16,1,4172792847.000000,4.172793,390626,1.837710
16,1,4161816870.000000,4.161817,390626,1.836106
16,1,4134210055.000000,4.134210,390626,1.829527
16,1,4299070383.000000,4.299070,390626,1.986211
