epsilon,threads,avg_latency_ns,wall_s,hit_ratio,avg_IOs,data_io_ns
2,1,27175.644229,19.022951,0.293607,2912706,7576406766
4,1,21552.127294,15.086489,0.540586,1896862,5744767701
8,1,19664.693930,13.765286,0.664117,1390489,4791294114
12,1,21693.156801,15.185210,0.704740,1225497,4386936842
16,1,18639.957317,13.047970,0.725725,1141492,4105554943
20,1,18126.694561,12.688686,0.737983,1093409,3971799078
24,1,19788.782974,13.852148,0.746544,1060481,3854972162
32,1,18430.384911,12.901269,0.757168,1021232,3463886158
48,1,18283.590523,12.798513,0.767050,989903,3647873186
64,1,18044.525201,12.631168,0.772664,976246,3375530214
128,1,18084.216206,12.658951,0.781210,977669,3094241192
2,1,23575.310946,16.502718,0.293515,2913085,7514874591
4,1,21746.256676,15.222380,0.540646,1896612,5764867425
8,1,19913.934243,13.939754,0.663986,1391031,4801900983
12,1,18982.239883,13.287568,0.704993,1224446,4314090175
16,1,18525.039680,12.967528,0.725786,1141241,4058523808
20,1,17510.785037,12.257550,0.738166,1092645,3832615402
24,1,17914.917314,12.540442,0.746636,1060095,3725488767
32,1,17713.877713,12.399714,0.756794,1022806,3647019118
48,1,17640.658841,12.348461,0.767719,987063,3243405819
64,1,16984.819053,11.889373,0.772960,974975,3238500104
128,1,16988.197636,11.891738,0.781316,977196,3008249556
2,1,22878.975887,16.015283,0.293548,2912953,7429462122
4,1,20988.610304,14.692027,0.540608,1896772,5829705000
8,1,19450.518104,13.615363,0.663987,1391026,4715924375
12,1,19155.323141,13.408726,0.705138,1223845,4306580125
16,1,18492.301976,12.944611,0.725669,1141725,4085298906
20,1,18199.422119,12.739595,0.738173,1092616,3826104468
24,1,18007.500333,12.605250,0.746583,1060318,3705290258
32,1,17710.240241,12.397168,0.757387,1020310,3356526582
48,1,17763.102096,12.434171,0.767483,988066,3357599921
64,1,17793.599476,12.455520,0.772345,977615,3426294985
128,1,18178.285540,12.724800,0.781192,977750,3098834484
