epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,cache_hit_ratio
16,6975.344929,6.975586,998983,4.497647,2.477938,0.644770,0.355230,0.000819
16,7104.052365,7.104396,998997,4.506221,2.598176,0.634286,0.365714,0.000820
16,6709.961302,6.710221,998970,4.456153,2.254068,0.664084,0.335916,0.000834
16,6145.739651,6.146068,998929,4.568782,1.577286,0.743367,0.256633,0.000838
16,5989.878767,5.990243,998950,4.379395,1.610848,0.731088,0.268912,0.000830
16,5783.718523,5.784107,998919,4.253853,1.530254,0.735438,0.264562,0.000845
16,6046.211288,6.046435,998954,4.400698,1.645738,0.727817,0.272183,0.000835
16,5905.604847,5.905815,998952,4.264733,1.641082,0.722124,0.277876,0.000832
16,6040.694638,6.040941,998945,4.448048,1.592893,0.736317,0.263683,0.000839
16,5970.282045,5.970679,998944,4.371725,1.598955,0.732199,0.267801,0.000839
