threads,epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s,hit_rates
1,2,2063.660384,4.127321,251643,3.412604,0.259418
1,2,2295.783315,4.591567,251643,3.475207,0.259418
1,2,2247.575962,4.495152,251643,3.453481,0.259418
1,4,2843.954152,5.687908,252369,4.702735,0.261429
1,4,3091.348182,6.182696,252369,5.301889,0.261429
1,4,3037.581287,6.075163,252369,5.230573,0.261429
1,6,3060.233555,6.120467,253065,5.317684,0.263294
1,6,3110.581593,6.221163,253065,5.355352,0.263294
1,6,2879.972637,5.759945,253065,4.855590,0.263294
1,10,3078.814833,6.157630,254610,5.335847,0.267149
1,10,3031.016449,6.062033,254610,5.211717,0.267149
1,10,2871.511509,5.743023,254610,4.975230,0.267149
1,12,2128.884183,4.257768,255327,3.438615,0.268850
1,12,2210.253396,4.420507,255327,3.544878,0.268850
1,12,2149.896885,4.299794,255327,3.449311,0.268850
1,14,2203.701525,4.407403,256046,3.546684,0.270836
1,14,2182.071219,4.364142,256046,3.515874,0.270836
1,14,2146.168523,4.292337,256046,3.465792,0.270836
1,16,2130.976950,4.261954,256710,3.435120,0.272547
1,16,2131.875980,4.263752,256710,3.467888,0.272547
1,16,2110.663889,4.221328,256710,3.453102,0.272547
1,18,2229.256796,4.458514,257382,3.558531,0.274639
1,18,2194.394185,4.388788,257382,3.511417,0.274639
1,18,2237.161106,4.474322,257382,3.570096,0.274639
1,20,2213.864473,4.427729,258094,3.556869,0.276387
1,20,2237.339464,4.474679,258094,3.540034,0.276387
1,20,2161.059662,4.322119,258094,3.460327,0.276387
1,24,2199.884898,4.399770,259477,3.513869,0.280170
1,24,2096.852628,4.193705,259477,3.449029,0.280170
1,24,2194.020976,4.388042,259477,3.561571,0.280170
1,32,2127.367174,4.254734,262130,3.430947,0.287634
1,32,2447.517696,4.895035,262130,3.991273,0.287634
1,32,3225.679519,6.451359,262130,5.534403,0.287634
1,48,3096.045280,6.192091,267268,5.342067,0.302415
1,48,2636.197722,5.272395,267268,4.493430,0.302415
1,48,2207.292565,4.414585,267268,3.506810,0.302415
1,64,2233.833593,4.467667,272213,3.584102,0.315785
1,64,2264.905020,4.529810,272213,3.661808,0.315785
1,64,2180.249023,4.360498,272213,3.552281,0.315785
