baseline,producers,workers,latency_ns,wall_time_ns,avg_IOs,hit_ratio
FALCON,64,32,8990896.925538,1138322370,411657,0.547496
FALCON,128,32,14078443.104293,891291742,380900,0.580767
FALCON,1,64,656004.375578,10717863533,1000000,0.000000
FALCON,2,64,1495895.556046,8819794465,956155,0.039154
FALCON,4,64,3654783.775975,7802719950,913454,0.077615
FALCON,8,64,4974020.315820,5086802621,792305,0.187588
FALCON,16,64,6570587.756446,3320936552,665834,0.304134
FALCON,32,64,8736846.057674,2202004630,549769,0.413049
FALCON,64,64,12077085.050734,1519348388,463542,0.496035
FALCON,128,64,17929303.102334,1142802785,412117,0.547322
FALCON,1,128,575014.535941,10501567681,1000000,0.000000
FALCON,2,128,2084143.598281,10069972409,999999,0.000001
FALCON,4,128,4130929.474424,9272322427,980954,0.016987
FALCON,8,128,7625440.799204,7869746776,908664,0.081795
FALCON,16,128,9870703.596237,4989776316,789805,0.189587
FALCON,32,128,12950485.464013,3258682792,661509,0.308204
FALCON,64,128,16869548.453627,2121440347,548927,0.413864
FALCON,128,128,22995278.756342,1488022328,472007,0.487454
FALCON,1,1,362421.323005,4087657115,458236,0.501270
FALCON,2,1,526424.831138,3150055467,410131,0.549145
FALCON,4,1,847887.181372,2481616795,377291,0.584915
FALCON,8,1,1669228.295625,1834922486,350040,0.619726
FALCON,16,1,3735745.399384,1976392754,340002,0.633377
FALCON,32,1,9267024.250397,2573271903,333407,0.641971
FALCON,64,1,18839138.752616,2993234825,328462,0.647826
FALCON,128,1,60313060.424222,4029694248,317748,0.658725
FALCON,1,2,371173.353805,3749550066,514419,0.447270
FALCON,2,2,468057.057052,2415155842,464458,0.495197
FALCON,4,2,665611.052532,1732916782,411895,0.547331
FALCON,8,2,1147689.028572,1421472380,378158,0.584604
FALCON,16,2,2385265.506596,1269596091,361223,0.606238
FALCON,32,2,4837212.219874,1250355534,350157,0.620396
FALCON,64,2,13303378.482123,1710751927,346366,0.624940
FALCON,128,2,26754968.325933,1775279056,338690,0.634906
FALCON,1,4,427919.655603,3946057448,583823,0.381227
FALCON,2,4,578992.131574,2557765380,557085,0.406079
FALCON,4,4,716040.793031,1656844725,468480,0.491001
FALCON,8,4,1059047.102357,1230983721,413037,0.546184
FALCON,16,4,1934130.376881,1075726594,385092,0.577506
FALCON,32,4,3960094.119206,1058942379,366704,0.599167
FALCON,64,4,6197752.440662,802582505,354218,0.614987
FALCON,128,4,14594858.027050,939588724,348402,0.622689
FALCON,1,8,528400.364233,4928487609,705104,0.268014
FALCON,2,8,783805.012289,3317747270,671036,0.299223
FALCON,4,8,1019656.674226,2168600707,555240,0.407818
FALCON,8,8,1449969.148008,1546154753,466481,0.492934
FALCON,16,8,2133652.087687,1150321811,412822,0.546334
FALCON,32,8,3435960.910654,972923519,387732,0.574113
FALCON,64,8,5845968.866996,773976543,365559,0.600367
FALCON,128,8,10492328.398149,690307825,355112,0.614171
FALCON,1,16,722892.231197,7636021129,859703,0.126102
FALCON,2,16,1193731.214775,5011215155,793196,0.186542
FALCON,4,16,1479592.358158,3090608585,668870,0.301328
FALCON,8,16,2057009.061027,2158473872,555365,0.407679
FALCON,16,16,3250409.719778,1720441050,467880,0.491540
FALCON,32,16,4933938.645771,1271313489,412062,0.546933
FALCON,64,16,6898050.427258,891876030,381063,0.580599
FALCON,128,16,11004001.858388,735124559,362572,0.603097
FALCON,1,32,770432.495500,9400354554,956970,0.038415
FALCON,2,32,1655074.714615,7624135331,896770,0.092602
FALCON,4,32,2516679.929844,5279477609,794164,0.185929
FALCON,8,32,2986051.742850,3091612229,668732,0.301323
FALCON,16,32,4321595.829926,2213906303,551939,0.410951
FALCON,32,32,6112543.983299,1553592879,464599,0.494945
FALCON,64,32,8936147.354941,1133749518,411878,0.547440
FALCON,128,32,14067024.535652,893337402,381180,0.580486
FALCON,1,64,643609.651201,10570727182,1000000,0.000000
FALCON,2,64,1594087.872044,9170177460,957055,0.038382
FALCON,4,64,3561653.305429,7633157847,913280,0.077696
FALCON,8,64,5084906.451731,5190104607,790884,0.188700
FALCON,16,64,6440815.549033,3254735096,665646,0.304189
FALCON,32,64,8386838.852465,2112469816,550022,0.412836
FALCON,64,64,12024485.523764,1518003046,463085,0.496297
FALCON,128,64,17911041.807200,1139110468,412132,0.547015
FALCON,1,128,601632.541492,10769265328,1000000,0.000000
FALCON,2,128,2043749.209803,9905003436,1000000,0.000000
FALCON,4,128,4193793.770643,9437982121,980747,0.017151
FALCON,8,128,7271720.394065,7527434028,909795,0.080800
FALCON,16,128,10549515.338645,5316316463,788961,0.190330
FALCON,32,128,12078566.749475,3035896827,662906,0.306883
FALCON,64,128,16767197.083492,2099992953,547410,0.415318
FALCON,128,128,23113027.539135,1486505232,471788,0.487715
