epsilon,threads,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s
16,1,4424931669.000000,4.424932,390626,1.912191
16,1,4337472836.000000,4.337473,390626,1.931142
16,1,4365738477.000000,4.365738,390626,1.927978
16,1,4379902371.000000,4.379902,390626,1.928225
16,1,4334256889.000000,4.334257,390626,1.896634
16,1,4370133810.000000,4.370134,390626,1.944334
16,1,4359802322.000000,4.359802,390626,1.940411
16,1,4284383963.000000,4.284384,390626,1.887985
16,1,4304009603.000000,4.304010,390626,1.901342
16,1,4338485777.000000,4.338486,390626,1.901966
