epsilon,threads,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s
16,1,967568448.000000,0.967568,73996,0.392115
16,1,960007794.000000,0.960008,73996,0.389553
16,1,930946359.000000,0.930946,73996,0.337039
16,1,967679657.000000,0.967680,73996,0.360272
16,1,907820416.000000,0.907820,73996,0.341616
16,1,923727934.000000,0.923728,73996,0.351451
16,1,898633441.000000,0.898633,73996,0.338173
16,1,905967517.000000,0.905968,73996,0.333871
16,1,915750648.000000,0.915751,73996,0.352178
16,1,908995642.000000,0.908996,73996,0.342372
