epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,cache_hit_ratio
6,4122.493962,16.490308,390599,12.320121,4.170187,0.747113,0.252887,0.904952
10,4172.134525,16.688839,390600,12.420514,4.268325,0.744241,0.255759,0.906379
12,4187.630611,16.750836,390601,12.321575,4.429261,0.735580,0.264420,0.907066
14,4232.582892,16.930638,390603,12.411794,4.518844,0.733097,0.266903,0.907749
16,4187.917662,16.751904,390604,12.321504,4.430400,0.735529,0.264471,0.908424
18,8346.775761,33.387420,390604,28.387855,4.999565,0.850256,0.149744,0.909089
20,4138.158213,16.552918,390608,12.195364,4.357553,0.736750,0.263250,0.909748
24,4199.268920,16.797377,390607,12.328410,4.468966,0.733949,0.266051,0.911036
32,4130.489495,16.522147,390614,12.152966,4.369181,0.735556,0.264444,0.913490
48,4164.556467,16.658537,390619,12.142017,4.516520,0.728877,0.271123,0.918019
64,4263.931430,17.056020,390623,12.504862,4.551157,0.733164,0.266836,0.922118
6,4056.285145,16.225470,390599,12.020181,4.205289,0.740822,0.259178,0.904952
10,4180.722043,16.723204,390600,12.376783,4.346422,0.740096,0.259904,0.906379
12,4243.718423,16.975185,390601,12.682565,4.292620,0.747124,0.252876,0.907066
14,4149.534876,16.598338,390603,12.092369,4.505969,0.728529,0.271471,0.907749
16,4167.345908,16.669591,390604,12.196606,4.472984,0.731668,0.268332,0.908424
18,4167.277195,16.669419,390604,12.186341,4.483079,0.731060,0.268940,0.909089
20,4174.544113,16.698468,390608,12.213605,4.484863,0.731421,0.268579,0.909748
24,6081.841293,24.327709,390607,20.046164,4.281545,0.824005,0.175995,0.911036
32,4186.550516,16.746508,390614,12.251188,4.495319,0.731567,0.268433,0.913490
48,4238.168238,16.952985,390619,12.400207,4.552778,0.731447,0.268553,0.918019
64,6240.435798,24.962048,390623,20.262929,4.699119,0.811749,0.188251,0.922118
6,6106.359027,24.425756,390599,20.013741,4.412015,0.819370,0.180630,0.904952
10,4207.865437,16.831767,390600,12.425639,4.406128,0.738225,0.261775,0.906379
12,4167.738671,16.671281,390601,12.122987,4.548294,0.727178,0.272822,0.907066
14,4194.353900,16.777769,390603,12.349660,4.428109,0.736073,0.263927,0.907749
16,4466.005664,17.864364,390604,13.369461,4.494902,0.748387,0.251613,0.908424
18,7358.838121,29.435647,390604,24.286960,5.148687,0.825087,0.174913,0.909089
20,4805.108812,19.220745,390608,14.663233,4.557512,0.762886,0.237114,0.909748
24,4195.350991,16.781698,390607,12.240244,4.541454,0.729381,0.270619,0.911036
32,4204.644196,16.818905,390614,12.347272,4.471633,0.734131,0.265869,0.913490
48,6223.369403,24.893771,390619,20.186410,4.707361,0.810902,0.189098,0.918019
64,4164.745351,16.659270,390623,12.235714,4.423556,0.734469,0.265531,0.922118
6,4061.626517,16.246705,390599,12.001246,4.245459,0.738688,0.261312,0.904952
10,4069.840002,16.279677,390600,12.549745,3.729933,0.770884,0.229116,0.906379
12,4219.926447,16.879953,390601,12.377496,4.502458,0.733266,0.266734,0.907066
14,4134.472198,16.538190,390603,12.049849,4.488341,0.728607,0.271393,0.907749
16,4155.571864,16.622587,390604,12.072079,4.550509,0.726245,0.273755,0.908424
18,4243.343751,16.973573,390604,12.341100,4.632473,0.727077,0.272923,0.909089
20,4165.053305,16.660508,390608,12.126214,4.534294,0.727842,0.272158,0.909748
24,6340.181384,25.361052,390607,20.565491,4.795561,0.810908,0.189092,0.911036
32,4154.630098,16.618817,390614,12.240147,4.378670,0.736523,0.263477,0.913490
48,4205.743904,16.823278,390619,12.295033,4.528245,0.730835,0.269165,0.918019
64,4156.488961,16.626238,390623,12.199038,4.427199,0.733722,0.266278,0.922118
6,6080.387816,24.321870,390599,19.873225,4.448645,0.817093,0.182907,0.904952
10,4171.437367,16.685945,390600,12.188363,4.497582,0.730457,0.269543,0.906379
12,5736.475227,22.946257,390601,18.388347,4.557911,0.801366,0.198634,0.907066
14,4387.945131,17.552127,390603,13.122453,4.429674,0.747627,0.252373,0.907749
16,4161.173462,16.644993,390604,12.080734,4.564259,0.725788,0.274212,0.908424
18,4184.382336,16.737823,390604,12.172698,4.565125,0.727257,0.272743,0.909089
20,4742.023771,18.968396,390608,11.559960,7.408435,0.609433,0.390567,0.909748
24,6539.078839,26.156606,390607,20.757734,5.398871,0.793594,0.206406,0.911036
32,4182.741843,16.731270,390614,12.238386,4.492884,0.731468,0.268532,0.913490
48,4505.380304,18.021767,390619,13.363614,4.658153,0.741526,0.258474,0.918019
64,5817.624139,23.270820,390623,18.489890,4.780930,0.794553,0.205447,0.922118
