epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,cache_hit_ratio
16,6235.191021,6.235604,993437,4.663088,1.572516,0.747817,0.252183,0.005214
16,5915.885838,5.916215,993390,4.303913,1.612302,0.727477,0.272523,0.005225
16,6043.787439,6.044142,993413,4.397744,1.646398,0.727604,0.272396,0.005259
16,6107.604973,6.107852,993441,4.460543,1.647309,0.730296,0.269704,0.005241
16,6132.044647,6.132411,993530,4.429726,1.702685,0.722347,0.277653,0.005224
16,5944.010871,5.944341,993420,4.374853,1.569488,0.735969,0.264031,0.005232
16,6017.570215,6.017891,993404,4.422198,1.595694,0.734842,0.265158,0.005247
16,6056.594286,6.056824,993409,4.472320,1.584505,0.738393,0.261607,0.005233
16,6078.968446,6.079323,993439,4.463217,1.616106,0.734164,0.265836,0.005212
16,5879.686947,5.880012,993452,4.372583,1.507429,0.743635,0.256365,0.005220
