epsilon,avg_latency_ns,avg_walltime_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,hit_ratio
8,4619.074289,3.233795,257991,1.992712,1.241083,0.616215,0.383785,0.636624
10,3850.844640,2.695799,239605,1.755484,0.940315,0.651192,0.348808,0.663519
12,4808.877123,3.366574,234269,1.846828,1.519746,0.548578,0.451422,0.672113
14,4558.817039,3.191474,231498,1.907807,1.283667,0.597782,0.402218,0.676989
16,3887.873070,2.721699,230084,1.762260,0.959439,0.647485,0.352515,0.679926
18,3985.216481,2.789995,229422,1.721287,1.068708,0.616950,0.383050,0.681866
20,4023.391619,2.816584,229217,1.850985,0.965599,0.657174,0.342826,0.683106
24,3862.395891,2.703982,229962,1.725500,0.978482,0.638133,0.361867,0.684053
32,3877.057030,2.714242,233033,1.678981,1.035261,0.618582,0.381418,0.683648
48,3903.642547,2.732866,242501,1.691992,1.040874,0.619127,0.380873,0.695559
64,3938.196687,2.757029,253515,1.775932,0.981097,0.644147,0.355853,0.702005
128,3911.682621,2.738502,300842,1.861668,0.876835,0.679812,0.320188,0.682798
8,3897.275733,2.728311,258069,1.828832,0.899479,0.670317,0.329683,0.636514
10,3800.155073,2.660227,239613,1.718080,0.942148,0.645839,0.354161,0.663507
12,4027.738619,2.819638,234269,1.799158,1.020480,0.638081,0.361919,0.672113
14,3902.197503,2.731636,231505,1.748208,0.983428,0.639986,0.360014,0.676979
16,3882.696044,2.718103,230082,1.798095,0.920008,0.661526,0.338474,0.679929
18,3827.212810,2.679349,229429,1.689898,0.989451,0.630712,0.369288,0.681857
20,3826.476269,2.678741,229202,1.712437,0.966304,0.639269,0.360731,0.683126
24,3668.486157,2.568258,229966,1.680035,0.888223,0.654153,0.345847,0.684048
32,3948.346283,2.764058,233014,1.755365,1.008693,0.635068,0.364932,0.683674
48,4479.646743,3.136072,242510,1.880744,1.255327,0.599713,0.400287,0.695548
64,3993.626240,2.795850,253517,1.782947,1.012903,0.637712,0.362288,0.702003
128,4056.903487,2.840266,300801,1.803968,1.036298,0.635140,0.364860,0.682841
8,4463.813454,3.124991,258130,2.023597,1.101394,0.647553,0.352447,0.636428
10,3767.386194,2.637492,239608,1.708472,0.929021,0.647764,0.352236,0.663514
12,4041.760894,2.829547,234257,1.868263,0.961284,0.660269,0.339731,0.672130
14,3816.874823,2.672146,231494,1.739361,0.932785,0.650923,0.349077,0.676994
16,4345.029949,3.041725,230090,1.832338,1.209387,0.602401,0.397599,0.679918
18,3802.545479,2.662093,229406,1.680736,0.981357,0.631359,0.368641,0.681889
20,4429.272144,3.100791,229230,1.741378,1.359413,0.561592,0.438408,0.683088
24,3733.699826,2.613961,229972,1.661905,0.952056,0.635780,0.364220,0.684039
32,3869.094277,2.708701,233024,1.713162,0.995539,0.632466,0.367534,0.683660
48,3872.166160,2.710836,242492,1.737930,0.972907,0.641105,0.358895,0.695571
64,3844.463404,2.691346,253503,1.767436,0.923910,0.656711,0.343289,0.702019
128,4242.875320,2.970237,300832,1.889278,1.080959,0.636070,0.363930,0.682809
