threads,avg_latency_ns,avg_walltime_s,avg_IOs
1,5520.626723,5.521215,154218
2,10102.555366,5.068955,155606
4,17275.610213,4.329176,154389
8,26716.887460,3.340713,151169
16,32479.439295,2.031926,156686
32,41113.203791,1.286609,164390
64,48413.879091,0.764854,178186
128,77819.921441,0.627094,204578
256,152040.893745,0.650306,202592
512,271642.314492,0.607753,199621
1024,537335.646310,0.668673,195839
2048,862688.745001,0.662148,189218
4096,1092319.395565,0.850183,170817
8192,1136971.286224,0.948802,149571
16384,2742299.836910,1.208501,154245
