threads,avg_latency_ns,avg_walltime_s,avg_IOs
1,9079.243490,9.079664,215204
2,13792.129708,6.911656,200316
4,19817.383675,5.029357,173664
8,32927.206303,4.122284,161660
16,75247.460279,4.723771,175540
32,92130.915537,2.909511,182069
64,104211.631043,1.660611,192171
128,147999.792018,1.213355,208739
256,250395.064563,1.079405,202891
512,466579.246688,1.020099,201183
1024,866469.834416,1.023458,196597
2048,1548429.490397,1.024269,183560
4096,1869150.289007,1.086132,163501
8192,1739511.157726,1.107601,140114
16384,3853934.173111,1.435249,141404
