epsilon,threads,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s
16,1,4324345321.000000,4.324345,390625,1.886661
16,1,4179639907.000000,4.179640,390625,1.829777
16,1,4302267025.000000,4.302267,390625,1.864409
16,1,4266477535.000000,4.266478,390625,1.860596
16,1,4203141045.000000,4.203141,390625,1.819161
16,1,4226072588.000000,4.226073,390625,1.858198
16,1,4213813253.000000,4.213813,390625,1.838819
16,1,4221867886.000000,4.221868,390625,1.837293
16,1,4230713371.000000,4.230713,390625,1.861962
16,1,4291924003.000000,4.291924,390625,1.854393
