threads,avg_latency_ns,avg_walltime_s,avg_IOs
1,7044.099240,7.044611,176365
2,11337.471850,5.670468,177950
4,18338.928164,4.780382,170576
8,31096.155391,3.889558,153441
16,35234.946417,2.203252,166542
32,42266.660999,1.324257,173937
64,56270.836909,0.886316,186342
128,84002.848208,0.682097,207719
256,159881.001076,0.671401,204466
512,443325.906596,0.924085,198907
1024,827786.315034,0.943840,191470
2048,1279137.622084,0.935138,184947
4096,1567193.583583,1.007594,165817
8192,1694042.808403,1.022972,135035
16384,3272697.420259,1.465943,151309
