epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,cache_hit_ratio
16,3812.513599,3.882046,38149,2.663880,1.218167,0.686205,0.313795,0.657224
16,3806.397654,3.875982,38107,2.602160,1.273822,0.671355,0.328645,0.657224
16,4791.274245,4.860520,38273,2.734747,2.125773,0.562645,0.437355,0.657224
16,3762.196265,3.830665,38076,2.607170,1.223496,0.680605,0.319395,0.657224
16,3889.866373,3.960191,38135,2.707730,1.252461,0.683737,0.316263,0.657224
16,3796.316652,3.864384,38120,2.622234,1.242150,0.678565,0.321435,0.657224
16,3700.395693,3.771736,38143,2.578526,1.193210,0.683644,0.316356,0.657224
16,3826.065615,3.895263,38179,2.646103,1.249160,0.679313,0.320687,0.657224
16,3728.052148,3.795680,38121,2.579250,1.216430,0.679523,0.320477,0.657224
16,3803.103345,3.870875,38126,2.603700,1.267175,0.672639,0.327361,0.657224
