threads,avg_latency_ns,avg_walltime_s,avg_IOs
1,5826.537002,5.826974,151899
2,10644.883835,5.326247,153298
4,17995.837266,4.693919,153909
8,30476.984526,3.813312,151198
16,35197.061795,2.201552,155717
32,41803.946464,1.308503,164075
64,53932.674761,0.856472,177477
128,78400.537824,0.646238,204858
256,147263.864767,0.643205,202822
512,277770.059781,0.612458,200989
1024,557151.927341,0.685231,194414
2048,883500.641523,0.664095,190455
4096,897950.383582,0.772625,175758
8192,1642449.725055,1.011930,125144
16384,2727981.505521,1.170944,154849
