baseline,producers,workers,latency_ns,wall_time_ns,avg_IOs,data_IO_time_ns,hit_ratio,index_time_ns,cache_time_ns
FALCON,1,1,1552220.875062,14685234635,457708,13497894290,0.501853,127671090,13696287567
FALCON,2,1,8721941.811235,37568892034,409316,36388566263,0.549916,330358677,36627809111
FALCON,4,1,1677993.505110,4723818208,377829,3459238717,0.584922,174205411,3624036965
FALCON,8,1,2982790.455531,3687472879,353881,2152152485,0.614826,201948011,2311492575
FALCON,16,1,5429864.480683,3757307380,345937,1816034502,0.625452,262426186,1978207149
FALCON,32,1,10955807.339765,3827850186,337327,1845450341,0.636961,363183829,2010909699
FALCON,64,1,27434579.719142,3953113315,326578,2213978276,0.649954,413194194,2395585597
FALCON,128,1,65611151.803533,4351605756,317690,2278326839,0.658831,445592106,2458418613
FALCON,1,2,3361258.361447,29155220927,495320,48070107293,0.465475,619871034,48524417889
FALCON,2,2,4817610.355203,19556337817,462565,37919575895,0.496528,430857218,38182102564
FALCON,4,2,1606734.022889,3676314523,411069,6509036239,0.548225,428574082,6682753384
FALCON,8,2,4393108.502368,4938703861,378988,8891716455,0.583265,721205084,9065692191
FALCON,16,2,8705921.017140,5127534119,361017,9137759554,0.605019,1170780432,9316346660
FALCON,32,2,11409559.073379,2967067980,345007,4836543932,0.626638,1081484782,5021803906
FALCON,64,2,18550295.194066,2417059822,336382,3622125113,0.638180,1230503590,3816041709
FALCON,128,2,32689391.320086,2111890574,329528,2773787009,0.646456,1090552676,2973423103
FALCON,1,4,5681597.179580,48683916026,581234,144318527828,0.383602,1673423332,145169235892
FALCON,2,4,5941257.186388,23850179127,548030,92610986119,0.414559,1511195832,93143281543
FALCON,4,4,8077068.045152,16254300416,462736,63439953943,0.496644,1908618124,63776567473
FALCON,8,4,7485848.704376,7724875150,412020,29920608634,0.547191,2298871340,30122551629
FALCON,16,4,8990880.330561,4827243852,381773,18273210510,0.579800,3032554076,18474027752
FALCON,32,4,11192410.370718,3078849430,361665,11292751457,0.604297,3268797788,11489760834
FALCON,64,4,14330625.474001,1840452279,347358,6339813192,0.623591,3384024036,6539911707
FALCON,128,4,27845863.338454,1777297342,337785,5806666065,0.636231,6373433096,6019577392
FALCON,1,8,4315235.143915,37611933693,705181,202356512782,0.267936,2456421288,203181569933
FALCON,2,8,2139980.512376,8903662316,667711,69965269120,0.302277,1962279456,70287899620
FALCON,4,8,6770657.443036,13723300502,547282,106803626019,0.415621,3885131592,107251547957
FALCON,8,8,6372985.892558,6547201922,467227,51297922459,0.492241,4160039712,51560827672
FALCON,16,8,9252816.703207,4835843003,414151,37632842270,0.545254,6128072064,37867211201
FALCON,32,8,11743951.969948,3075128167,381264,23608120200,0.580543,5616727504,23826413503
FALCON,64,8,19067700.387793,2506741965,362116,19013495182,0.603830,9470789936,19239425319
FALCON,128,8,28243847.328682,1820534782,348664,13323439011,0.621893,12993092104,13576607692
FALCON,1,16,5368048.352940,47595537893,834086,460904759187,0.149390,4655039616,462660888632
FALCON,2,16,5138215.105226,21789150725,766893,286217781276,0.210931,6824054240,287431527498
FALCON,4,16,6345140.744018,13209979430,659608,196535828861,0.310145,7605348448,197358630244
FALCON,8,16,8291947.444065,8459586113,556374,132712578488,0.407040,8778329104,133393050041
FALCON,16,16,10565961.834470,5404400574,467784,84774223991,0.491796,9894023440,85276794161
FALCON,32,16,14358899.373333,3662623613,412882,57081077857,0.546334,10821113392,57466078464
FALCON,64,16,22674951.252615,2892246107,381571,44977414459,0.580060,14427022960,45301132071
FALCON,128,16,33807118.347332,2169241986,361968,33242508537,0.603977,24293989632,33565239071
FALCON,1,32,5377101.533057,52342692079,942200,939605128323,0.051642,9328895520,942911208082
FALCON,2,32,7095944.255477,31264172089,864075,743471165673,0.122282,13627316224,745408363524
FALCON,4,32,9885818.146761,20187080290,790797,632840474203,0.188842,16042779872,634461154485
FALCON,8,32,10379687.539219,10497045610,665635,332835220985,0.304322,13340220288,333678394834
FALCON,16,32,14165238.171519,7141794911,550152,226083001025,0.412710,14076824864,226795655861
FALCON,32,32,18117518.451820,4555227127,464339,143862911186,0.495027,14062900064,144410650080
FALCON,64,32,26381565.130275,3321845844,411697,104347758069,0.547400,17283768896,104834442119
FALCON,128,32,35670944.851726,2286951306,381877,70976852764,0.579945,59111609504,71465031637
