epsilon,threads,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s
16,1,4123094506.000000,4.123095,390626,1.849338
16,1,4133730633.000000,4.133731,390626,1.883821
16,1,4085714931.000000,4.085715,390626,1.854047
16,1,4049902197.000000,4.049902,390626,1.830250
16,1,4055616946.000000,4.055617,390626,1.843095
16,1,4100750206.000000,4.100750,390626,1.846796
16,1,4079706251.000000,4.079706,390626,1.844303
16,1,4072741342.000000,4.072741,390626,1.842799
16,1,4057486571.000000,4.057487,390626,1.843670
16,1,4058830625.000000,4.058831,390626,1.849396
