epsilon,threads,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s
16,1,1253960100.000000,1.253960,107954,0.558767
16,1,1307889490.000000,1.307889,107954,0.628803
16,1,1186610965.000000,1.186611,107954,0.501248
16,1,1175500547.000000,1.175501,107954,0.498899
16,1,1214760543.000000,1.214761,107954,0.506088
16,1,1257590139.000000,1.257590,107954,0.527822
16,1,1251989862.000000,1.251990,107954,0.545982
16,1,1254356181.000000,1.254356,107954,0.532953
16,1,1252917416.000000,1.252917,107954,0.524389
16,1,1257623629.000000,1.257624,107954,0.539896
