epsilon,avg_latency_ns,avg_walltime_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,hit_ratio
2,3697.382344,2.588433,162064,1.711723,0.876711,0.661297,0.338703,0.769562
4,3281.027399,2.296995,107836,1.369542,0.927453,0.596232,0.403768,0.847149
6,3250.078553,2.275266,90835,1.263173,1.012093,0.555176,0.444824,0.871639
8,3623.524430,2.536711,82917,1.191698,1.345013,0.469781,0.530219,0.883213
10,3137.024733,2.196124,78261,1.156844,1.039280,0.526766,0.473234,0.890097
12,3082.736717,2.158142,75318,1.158944,0.999198,0.537010,0.462990,0.894584
14,3729.893863,2.611238,73354,1.283806,1.327432,0.491646,0.508354,0.897648
16,3060.407506,2.142496,71942,1.152699,0.989797,0.538017,0.461983,0.899920
18,3013.343871,2.109549,70962,1.131819,0.977730,0.536522,0.463478,0.901599
20,2990.711017,2.093720,70231,1.104388,0.989332,0.527477,0.472523,0.902905
24,3286.037861,2.300433,69282,1.137593,1.162840,0.494513,0.505487,0.904813
32,3041.211841,2.129073,68650,1.180023,0.949050,0.554243,0.445757,0.906805
48,3179.953867,2.226309,69501,1.111291,1.115018,0.499163,0.500837,0.912747
64,3295.992230,2.307436,71476,1.171314,1.136121,0.507626,0.492374,0.915983
2,3790.533861,2.653719,162084,1.655672,0.998047,0.623906,0.376094,0.769534
4,3329.466423,2.330847,107822,1.373331,0.957516,0.589198,0.410802,0.847169
6,3456.487783,2.419863,90836,1.246928,1.172936,0.515288,0.484712,0.871638
8,3821.664183,2.675547,82918,1.203782,1.471765,0.449920,0.550080,0.883211
10,3024.762566,2.117559,78264,1.114564,1.002995,0.526344,0.473656,0.890093
12,3875.553257,2.713119,75305,1.362133,1.350986,0.502054,0.497946,0.894602
14,3400.345377,2.380674,73348,1.197211,1.183463,0.502887,0.497113,0.897657
16,3040.074513,2.128161,71945,1.130777,0.997384,0.531340,0.468660,0.899916
18,3326.151873,2.328431,70970,1.307185,1.021246,0.561402,0.438598,0.901588
20,3014.220266,2.110156,70232,1.117139,0.993018,0.529410,0.470590,0.902904
24,3417.573297,2.392618,69277,1.284937,1.107681,0.537042,0.462958,0.904820
32,3030.210120,2.121276,68648,1.168503,0.952773,0.550849,0.449151,0.906808
48,3163.827919,2.214976,69490,1.104791,1.110185,0.498782,0.501218,0.912761
64,3237.541357,2.266605,71470,1.073130,1.193475,0.473453,0.526547,0.915990
2,3981.502356,2.787310,162069,1.686819,1.100492,0.605178,0.394822,0.769555
4,3430.957763,2.401923,107826,1.332216,1.069708,0.554645,0.445355,0.847163
6,3123.417609,2.186620,90831,1.243429,0.943191,0.568653,0.431347,0.871645
8,3769.745909,2.639130,82907,1.324529,1.314601,0.501881,0.498119,0.883227
10,3624.206264,2.537179,78268,1.262811,1.274368,0.497723,0.502277,0.890087
12,3291.299704,2.304163,75315,1.139179,1.164984,0.494401,0.505599,0.894588
14,3628.016491,2.539931,73346,1.229813,1.310118,0.484191,0.515809,0.897660
16,3788.759707,2.652367,71949,1.162553,1.489814,0.438308,0.561692,0.899910
18,3074.123076,2.152111,70970,1.169684,0.982426,0.543506,0.456494,0.901588
20,3744.982153,2.621825,70233,1.290630,1.331195,0.492264,0.507736,0.902902
24,3815.087590,2.670941,69286,1.151148,1.519793,0.430990,0.569010,0.904807
32,3220.849171,2.254815,68644,1.290499,0.964316,0.572330,0.427670,0.906813
48,4271.800167,2.990484,69510,1.367468,1.623016,0.457273,0.542727,0.912736
64,2985.363211,2.089992,71477,1.051940,1.038052,0.503323,0.496677,0.915982
