epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,cache_hit_ratio
16,4599.241389,4.599549,74234,3.342648,1.256902,0.726734,0.273266,0.844530
16,4402.664028,4.403023,74786,3.232036,1.170987,0.734049,0.265951,0.844530
16,5417.095383,5.417458,74760,3.267564,2.149894,0.603154,0.396846,0.844530
16,4524.559702,4.524809,74533,3.262993,1.261816,0.721134,0.278866,0.844530
16,6042.640604,6.042906,74827,4.883566,1.159341,0.808148,0.191852,0.844530
16,8260.454701,8.260674,74380,7.052096,1.208578,0.853695,0.146305,0.844530
16,6071.883928,6.072232,74197,4.865410,1.206821,0.801256,0.198744,0.844530
16,4522.439229,4.522789,74656,3.376148,1.146641,0.746475,0.253525,0.844530
16,4437.246816,4.437463,74675,3.271763,1.165701,0.737305,0.262695,0.844530
16,4393.662937,4.393996,74562,3.259304,1.134692,0.741763,0.258237,0.844530
