epsilon,threads,avg_latency_ns,wall_s,hit_ratio,avg_IOs,data_io_ns
8,1,21681.934919,15.177354,0.022019,4048648,7679108824
12,1,24430.923834,17.101647,0.058734,3906794,8752662911
16,1,23214.547544,16.250183,0.079211,3832196,8724848197
20,1,22932.653340,16.052857,0.092399,3787453,8589012901
24,1,24865.140546,17.405598,0.100011,3765625,8635130127
32,1,23477.813937,16.434470,0.110974,3738805,8574798778
48,1,24246.204503,16.972343,0.121243,3734213,8449528036
64,1,23396.376657,16.377464,0.127261,3747785,8470408141
128,1,22667.076303,15.866953,0.137921,3852220,7848701510
8,1,19694.002819,13.785802,0.024699,4037552,7152099605
12,1,23743.024239,16.620117,0.058723,3906837,8840481245
16,1,26722.879250,18.706015,0.079442,3831234,8836646779
20,1,22701.887383,15.891321,0.091609,3790752,8604941242
24,1,23260.680360,16.282476,0.100356,3764179,8646275158
32,1,23019.643644,16.113751,0.110504,3740780,8526241696
48,1,23433.522516,16.403466,0.121845,3731657,8522093028
64,1,23165.561157,16.215893,0.127048,3748698,8345101281
128,1,23661.713753,16.563200,0.137661,3853385,8176185972
8,1,19663.766553,13.764637,0.024578,4038056,7087690008
12,1,24072.550166,16.850785,0.058822,3906426,8981429119
16,1,22977.407206,16.084185,0.079306,3831797,8680831542
20,1,24876.262786,17.413384,0.091508,3791172,8752175114
24,1,23037.990496,16.126593,0.100516,3763511,8477621038
32,1,23481.299506,16.436910,0.110826,3739428,8580317056
48,1,22763.754270,15.934628,0.121646,3732501,8345208386
64,1,23487.810917,16.441468,0.126941,3749161,8499932640
128,1,22179.491334,15.525644,0.138179,3851067,7751250575
