threads,avg_latency_ns,avg_walltime_s,avg_IOs
1,9732.898270,9.733353,362235
2,13706.943459,6.975755,359208
4,21013.947043,5.262572,344277
8,33797.146872,4.231032,333453
16,74423.338185,4.665314,318719
32,80483.117009,2.548118,332555
64,135296.075036,2.155119,330693
128,206174.702491,1.636384,332949
256,354590.131321,1.413976,334683
512,684588.825310,1.383865,337534
1024,1398925.400039,1.480200,339449
2048,2429591.382422,1.454854,336560
4096,4317366.749706,1.618308,337303
8192,8075362.079718,2.207398,332882
16384,18983422.156008,2.979610,351715
