epsilon,avg_latency_ns,avg_walltime_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,hit_ratio
4,7092.270233,7.092671,352168,5.606229,1.486442,0.790426,0.209574,0.650580
6,6842.276742,6.842656,304976,5.449204,1.393451,0.796358,0.203642,0.698339
10,22096.600058,22.096863,282992,20.641183,1.455680,0.934123,0.065877,0.721806
12,6447.564549,6.447796,279061,4.980972,1.466823,0.772508,0.227492,0.726599
14,6619.430844,6.619772,276514,5.172734,1.447039,0.781407,0.218593,0.729921
16,16145.088004,16.145493,275196,14.467147,1.678346,0.896049,0.103951,0.732006
18,12316.613415,12.316931,274593,10.793261,1.523670,0.876295,0.123705,0.733447
20,6725.398621,6.725706,274542,5.168644,1.557063,0.768491,0.231509,0.734303
24,6284.866757,6.285206,275360,4.850760,1.434446,0.771774,0.228226,0.735153
32,22097.278640,22.097602,279160,20.388641,1.708961,0.922663,0.077337,0.734706
48,7021.190957,7.021526,290310,5.079903,1.941624,0.723476,0.276524,0.744817
64,6844.610131,6.844840,303398,5.307629,1.537211,0.775420,0.224580,0.750272
4,22509.459596,22.509829,352132,20.979214,1.530615,0.932002,0.067998,0.650616
6,7173.031930,7.173278,304979,5.405293,1.767985,0.753532,0.246468,0.698336
10,6450.085016,6.450357,282995,4.918400,1.531957,0.762500,0.237500,0.721803
12,23001.199007,23.001462,279062,20.590031,2.411432,0.895162,0.104838,0.726598
14,6498.567784,6.498898,276526,4.917143,1.581756,0.756612,0.243388,0.729909
16,6579.319337,6.579667,275179,5.158690,1.420977,0.784035,0.215965,0.732022
18,22120.390161,22.120759,274589,20.437875,1.682884,0.923923,0.076077,0.733450
20,6908.886215,6.909170,274557,4.981528,1.927642,0.721002,0.278998,0.734289
24,6692.496661,6.692829,275353,5.179199,1.513630,0.773843,0.226157,0.735160
32,22412.951126,22.413299,279168,20.489142,1.924157,0.914151,0.085849,0.734699
48,6622.481782,6.622695,290293,5.037040,1.585655,0.760573,0.239427,0.744832
64,7224.829790,7.224985,303409,5.364564,1.860421,0.742502,0.257498,0.750263
4,22434.028879,22.434423,352168,20.954517,1.479907,0.934034,0.065966,0.650580
6,7120.910733,7.121353,304974,5.205978,1.915375,0.731038,0.268962,0.698341
10,7378.085882,7.378320,282999,5.267174,2.111146,0.713872,0.286128,0.721799
12,22464.104604,22.464426,279059,20.380837,2.083589,0.907249,0.092751,0.726601
14,6942.238595,6.942487,276540,5.081308,1.861180,0.731915,0.268085,0.729895
16,6545.220888,6.545489,275179,5.116598,1.428891,0.781698,0.218302,0.732022
18,22440.015952,22.440397,274589,20.364359,2.076038,0.907487,0.092513,0.733450
20,6173.226109,6.173581,274557,4.832219,1.341362,0.782726,0.217274,0.734289
24,6568.099803,6.568315,275363,5.144666,1.423649,0.783255,0.216745,0.735150
32,16536.915091,16.537263,279144,14.994151,1.543112,0.906689,0.093311,0.734721
48,11852.044079,11.852291,290294,10.358416,1.493876,0.873959,0.126041,0.744831
64,6851.124156,6.851451,303398,5.439714,1.411736,0.793951,0.206049,0.750272
