baseline,producers,workers,latency_ns,wall_time_ns,avg_IOs,data_IO_time_ns,hit_ratio,index_time_ns,cache_time_ns
FALCON,1,2,23991.599593,23991795029,501057,40906504058,0.459944,390534572,41219830485
FALCON,2,2,10872.713649,5436779457,458999,9634266061,0.500254,300092848,9829731459
FALCON,4,2,16508.983754,4130036820,410438,7259410217,0.548694,466124580,7462060751
FALCON,8,2,21146.749879,2666844642,376437,4390467742,0.586162,509140030,4552185710
FALCON,16,2,33581.459401,2110733064,356705,3119754638,0.611173,695193366,3302434421
FALCON,32,2,78670.642333,2495319996,345917,3713564644,0.625654,912296356,3902484948
FALCON,64,2,154786.073769,2441832198,335913,3589171058,0.638632,1219100146,3778534052
FALCON,128,2,304232.310165,2381628670,328747,3378793064,0.647387,996803808,3572837601
FALCON,1,4,45646.493432,45646855058,580949,139761948822,0.383932,1029646876,140344206097
FALCON,2,4,51379.240062,25699667396,538974,95415669066,0.423424,1613587812,95854031457
FALCON,4,4,52299.262511,13094576966,459977,50538454140,0.499906,1895289904,50800459327
FALCON,8,4,69597.347106,8726387860,411250,33915035929,0.548306,2366251888,34118372970
FALCON,16,4,77457.825666,4890960773,381830,18540086100,0.579851,2772107916,18744415179
FALCON,32,4,75901.616067,2404367573,360889,8600377051,0.605345,2725397100,8800309964
FALCON,64,4,124042.609276,1956049978,347280,6724100636,0.623585,3386742600,6925749802
FALCON,128,4,274857.928385,2158743517,337851,7225561304,0.636300,6482432852,7441913345
FALCON,1,8,37529.455933,37529694482,704072,206428572429,0.268962,2252063232,207083624418
FALCON,2,8,46473.094309,23239750183,647726,165337188240,0.321166,3157435912,165939680798
FALCON,4,8,65968.523479,16513974372,548325,128585924793,0.414678,3836086328,129143441040
FALCON,8,8,56902.405748,7148752223,462846,55663643730,0.496917,4225795024,55946945254
FALCON,16,8,76781.223667,4845050448,412884,37660270127,0.546411,5684801168,37898556947
FALCON,32,8,100542.182717,3178882662,381041,24436590815,0.580561,5235504448,24657480893
FALCON,64,8,147979.474078,2335955307,361572,17636771377,0.604614,7970440488,17861791453
FALCON,128,8,230814.971262,1816674693,348829,13095905537,0.621660,19850755256,13338592091
FALCON,1,16,50643.594841,50643842227,839002,521137054311,0.144956,5182692080,522099802564
FALCON,2,16,60959.452767,30489401891,768475,437170790818,0.209300,6789159312,438135505814
FALCON,4,16,72260.971523,18071767724,666499,285646712663,0.303551,7628777600,286463973109
FALCON,8,16,80572.318353,10083287391,549972,159099091268,0.412837,7539624672,159719454971
FALCON,16,16,101133.112531,6352270959,464265,100188572217,0.495150,7001439040,100546129145
FALCON,32,16,126972.407502,3987362704,411395,62438046925,0.547796,7123630528,62710524894
FALCON,64,16,188710.818850,2964291717,380954,46062365512,0.580745,11532596400,46358736726
FALCON,128,16,292668.168237,2307261863,362633,35232218736,0.603223,43154309056,35559851855
FALCON,1,32,55464.415681,55464560905,942860,1055458853866,0.051049,10253767456,1057989840227
FALCON,2,32,57205.393877,28611341257,885689,747446029797,0.102598,12110519456,749660998262
FALCON,4,32,102766.512979,25732757363,789168,812115009369,0.190283,17630088832,813810236338
FALCON,8,32,121058.076880,15164650583,663715,481138974037,0.306223,14212151648,482347942203
FALCON,16,32,153266.796503,9586754007,549336,304026071035,0.413404,13812799104,304869768282
FALCON,32,32,190248.602596,5952548198,463621,188351455925,0.495856,14641657344,188987085300
FALCON,64,32,231112.007723,3622951336,410827,114002512229,0.548600,18237735520,114474141251
FALCON,128,32,312422.846275,2453811056,381228,76459538406,0.580563,52733472640,76917231075
FALCON,1,64,59493.422530,59493566659,999987,1767878622868,0.000012,19922153984,1771958075438
FALCON,2,64,71578.926898,35791694268,947310,1376228690897,0.047034,25551160320,1378975566594
FALCON,4,64,105204.262235,26348890724,897757,1495650395700,0.091732,27140760704,1498126967258
FALCON,8,64,143019.695531,17885312870,789291,1133373425300,0.189997,33549121792,1134968710250
FALCON,16,64,151538.993817,9502833347,665520,603331730186,0.304405,32773220864,604440715767
FALCON,32,64,199293.385588,6234857013,549256,396276169477,0.413606,25811173760,397041841878
FALCON,64,64,267591.550558,4188004099,464294,265734380257,0.495376,49192372416,266319680854
FALCON,128,64,403784.149707,3173288856,415954,199474450978,0.543805,226273884224,200046286776
FALCON,1,128,42915.600597,42915759613,1000000,1675915465200,0.000000,24242554752,1678367368166
FALCON,2,128,73115.972089,36560026992,999998,2480637713652,0.000002,37940348160,2484627672135
FALCON,4,128,127452.439609,31868822445,979108,2926258820919,0.018571,36342150656,2929105216042
FALCON,8,128,194168.342543,24278103458,905632,2865283399911,0.084453,44979645824,2867548956268
FALCON,16,128,260280.078078,16282323574,787725,2061731795253,0.191490,60677754880,2063340679350
FALCON,32,128,306700.476909,9591879142,662789,1221969950384,0.306858,68807073792,1223048513781
FALCON,64,128,380974.849371,5962019172,550065,758513550235,0.412924,100908118016,759347774765
FALCON,128,128,538852.572140,4228788695,481502,537534320464,0.478498,179359296512,538116385875
FALCON,1,1,47147.747790,47147954560,437275,45245991105,0.522577,395720415,45557695786
FALCON,2,1,143912.599261,71959894196,409364,70595719241,0.550047,431092580,70902419862
FALCON,4,1,180064.822630,45097179549,379391,43388666698,0.582737,512097322,43690206287
FALCON,8,1,73361.161352,9258867016,358627,8046110592,0.608134,394797324,8208784597
FALCON,16,1,69365.247673,4370117880,342173,3046095156,0.630522,301794650,3206848330
FALCON,32,1,150102.413139,4755139860,337134,3110754487,0.637303,383778430,3290135742
FALCON,64,1,270911.096484,4279872984,330732,2662669605,0.645153,495737404,2832158138
FALCON,128,1,580969.663753,4551861804,318095,2312644133,0.658389,507260777,2485352915
FALCON,1,2,38682.943743,38683116420,496929,65560577528,0.463905,693125510,66027521052
FALCON,2,2,10703.231805,5351997161,462787,9694094079,0.496310,269050060,9896071752
FALCON,4,2,31130.170413,7815981442,409979,14474421352,0.549287,560786542,14660447515
FALCON,8,2,71000.777996,8897558009,380871,16717917159,0.580826,1054640488,16906565491
FALCON,16,2,52330.071856,3292091029,358073,5510578032,0.609198,831359172,5681137410
FALCON,32,2,77636.172394,2455103599,345616,3812740428,0.626010,890431132,3992204633
FALCON,64,2,145183.598118,2288961437,336820,3392517307,0.637550,1156341124,3579197477
FALCON,128,2,297836.061297,2333255372,328998,3276790742,0.646974,1010095548,3472777727
FALCON,1,4,46892.358448,46892550622,581306,140966433108,0.383582,1338615508,141777305659
FALCON,2,4,42920.166032,21460645716,545254,81632146268,0.417295,1495476532,82107202603
FALCON,4,4,37130.657573,9283793373,463276,36116589829,0.495936,1539581264,36365136106
FALCON,8,4,69445.348856,8690894236,411538,33682054004,0.547940,2612888176,33899756670
FALCON,16,4,47618.779959,2997464361,380833,11033527036,0.580790,2158598484,11231321144
FALCON,32,4,88437.215015,2845705775,361522,10396198042,0.604600,2753999632,10586635883
FALCON,64,4,127819.432399,2016982470,347147,6943432170,0.623689,3808260580,7148110905
FALCON,128,4,294005.497900,2306988152,338651,7705608996,0.635260,12703124044,7909234212
FALCON,1,8,33741.682143,33742090922,702443,180778931421,0.270440,2388183232,181695886688
FALCON,2,8,21628.212229,10819522880,663726,81166413344,0.306041,2236462248,81517157141
FALCON,4,8,60357.986076,15111249490,545729,115435356315,0.417192,4385164240,116039621241
FALCON,8,8,69639.016758,8711012135,464824,68302130377,0.494607,5368287968,68624328657
FALCON,16,8,75982.232682,4804145820,414192,37385456431,0.545475,6430901496,37631812531
FALCON,32,8,97802.000869,3092765862,381208,23730931154,0.580351,5257576520,23959512932
FALCON,64,8,131761.407840,2089289083,361877,15738910872,0.604171,6737096384,15950504646
FALCON,128,8,229690.410501,1808856188,348513,13221300640,0.621877,11058128256,13474431980
FALCON,1,16,50928.495666,50928892175,834475,496422076627,0.149028,5500391776,498492388620
FALCON,2,16,49991.887414,25108788343,763919,330493592325,0.213859,5763536768,331706947165
FALCON,4,16,64206.283562,16123493067,664139,244289782171,0.305850,6562461344,245170807711
FALCON,8,16,70818.149305,8905678367,554336,139929694662,0.408881,7781374208,140499747801
FALCON,16,16,82999.665083,5211156365,466092,81918964005,0.493481,8317565328,82324103695
FALCON,32,16,114481.182202,3609292187,412066,56444759316,0.547141,7458322912,56753862480
FALCON,64,16,149391.660075,2348079793,380838,36468363912,0.580821,9411350480,36732398914
FALCON,128,16,293013.709041,2309359674,363082,35316645436,0.602834,51691773520,35635860506
FALCON,1,32,46593.368465,46593482960,942377,832474964144,0.051473,8662313824,834979830757
FALCON,2,32,68814.081637,34412347735,890998,965091515281,0.097723,11264172384,967697756465
FALCON,4,32,104248.217136,26104255193,787056,824180194905,0.192189,15679151424,825684773567
FALCON,8,32,130895.153568,16383367794,664496,520369006263,0.305440,14309197024,521492516803
FALCON,16,32,158897.847167,9954279900,550468,315039251489,0.412412,17685018656,316060449796
FALCON,32,32,161171.438188,5046141338,464081,159217150888,0.495330,16280089024,159851366591
FALCON,64,32,231987.048558,3636012340,411567,114351765398,0.547616,17639455072,114892360880
FALCON,128,32,342445.037942,2696310083,382628,84002124415,0.579558,101205583584,84487500880
FALCON,1,64,57091.988868,57092138045,999974,1694991648073,0.000024,18561060800,1698999875922
FALCON,2,64,160829.768586,80415116327,947310,3116060151316,0.047047,28214627776,3118993703285
FALCON,4,64,109114.902001,27297652733,894667,1566456318880,0.094560,27469478080,1568836937277
FALCON,8,64,142409.024202,17822379312,789497,1129353643770,0.189858,32444624320,1130836107687
FALCON,16,64,165807.324301,10373578036,665450,659484643636,0.304447,31769150080,660645620434
FALCON,32,64,286911.811827,8977265434,547926,570275943819,0.414955,39025148032,571319632979
FALCON,64,64,348672.860714,5458219232,461901,346128366152,0.497818,40089989952,346917332493
FALCON,128,64,445749.254439,3499439997,413889,220836113366,0.545376,181795823296,221407233197
FALCON,1,128,50192.761356,50192878908,1000000,1971313988868,0.000000,27991564288,1973935718956
FALCON,2,128,89838.385393,44920056645,1000000,3123668477763,0.000000,42970079872,3127771479522
FALCON,4,128,160572.242940,40146198950,975910,3716705734849,0.021410,44362040064,3719925189322
FALCON,8,128,252326.072631,31552531690,901118,3736473859930,0.088513,54829321088,3739057847943
FALCON,16,128,336002.140878,21008902060,786369,2659543380520,0.192763,63233052032,2661310166438
FALCON,32,128,450755.188270,14096627434,660024,1795767659484,0.309713,73200354816,1797116875126
FALCON,64,128,523725.198884,8193456432,546049,1041308589668,0.416681,118347885952,1042319062266
FALCON,128,128,713793.932788,5599912214,477078,711007668698,0.482699,288137710336,711781042618
FALCON,1,1,42202.981782,42203289593,433899,40223053497,0.525946,409984152,40558841543
FALCON,2,1,54364.700832,27188657721,408996,26080306533,0.550358,406804067,26293812948
FALCON,4,1,51038.855116,12847110857,377479,11701656737,0.584910,337665357,11869115076
FALCON,8,1,74324.050475,9538386297,359248,8323708727,0.607492,424411610,8486065600
FALCON,16,1,79777.439493,5061099004,344096,3719535447,0.627939,321205938,3877937279
FALCON,32,1,151837.530198,4810101029,337494,3199336665,0.636694,412561059,3376266187
FALCON,64,1,248807.143063,3901804838,326609,2179621676,0.649833,430094434,2353046254
FALCON,128,1,585417.842768,4585117221,317720,2369279162,0.658755,462062278,2552045342
FALCON,1,2,77842.242686,77842570433,496920,135547412220,0.463882,603540610,136018519418
FALCON,2,2,10552.702580,5276668096,451930,8821599704,0.507614,314552104,9016816037
FALCON,4,2,54143.398802,13561571591,411216,26169987953,0.547812,810816520,26377449514
FALCON,8,2,48450.811833,6070509649,380247,11155822763,0.581503,885425124,11329446263
FALCON,16,2,56676.979296,3599230717,358601,6110441151,0.608515,861960548,6282495310
FALCON,32,2,95315.240012,3013293049,345176,4940768157,0.626479,1022482134,5118830075
FALCON,64,2,149692.732496,2378089309,336325,3488091826,0.638116,1209769158,3681075649
FALCON,128,2,298653.830331,2349482181,329307,3187043061,0.646622,1440162066,3380367638
FALCON,1,4,43226.931598,43227360704,581516,129233437117,0.383350,1438773720,129954582137
FALCON,2,4,55631.258579,27818609695,546379,106936630260,0.416163,1643471560,107525028814
FALCON,4,4,96506.163595,24243077151,454875,87782189839,0.504729,2217439868,88204063159
FALCON,8,4,43388.886301,5437728085,412485,20741236085,0.546524,1721486604,20952633320
FALCON,16,4,78276.120701,4938063119,381861,18674329154,0.579713,2905836868,18878269771
FALCON,32,4,89238.205878,2857543163,360924,10354138158,0.605207,2669908544,10562403702
FALCON,64,4,148410.906934,2344508455,348007,8315224718,0.622579,4652948840,8512420114
FALCON,128,4,300910.289845,2367771148,339070,8021179748,0.634637,11616704568,8226820182
FALCON,1,8,16533.565191,16533835617,700327,88910672709,0.272399,1230986776,89347995458
FALCON,2,8,56492.498635,28437255953,657771,206633253716,0.311773,3056659808,207609745938
FALCON,4,8,59781.138617,14975154456,549804,116539850496,0.413124,4047147008,117132109343
FALCON,8,8,58149.195749,7281244866,466117,56928841059,0.493510,4307058288,57251278204
FALCON,16,8,76783.574230,4841128176,413777,37636920950,0.545446,5552688416,37881525573
FALCON,32,8,98169.967790,3105152807,381160,23847390573,0.580296,4677013288,24072680225
FALCON,64,8,157181.575997,2491192231,361913,18881316718,0.604153,8358087912,19110113202
FALCON,128,8,233296.136972,1832609708,348672,13387700679,0.621875,13831000232,13638790566
FALCON,1,16,51107.055791,51107334738,833669,503095794997,0.149799,4768732624,504940240275
FALCON,2,16,56545.334911,28583409908,768706,380044893720,0.209318,6471652448,381372234390
FALCON,4,16,76303.598560,19077295496,667658,301201568766,0.302433,9474532704,302165561811
FALCON,8,16,86977.836475,10936672695,551189,172180037186,0.411726,8110798368,172960690713
FALCON,16,16,102012.357545,6406258161,464731,100796181295,0.494734,8567075232,101298342161
FALCON,32,16,126379.547405,3975569793,411873,62218247894,0.547179,7791026512,62580195214
FALCON,64,16,168441.938022,2649628678,380968,41183462511,0.580599,9940330112,41465526651
FALCON,128,16,276670.477950,2176745110,362043,33416926640,0.603828,24456924848,33723789310
