epsilon,threads,avg_latency_ns,wall_s,hit_ratio,avg_IOs,data_io_ns
4,1,20317.651921,14.222356,0.030481,4003019,7241044040
8,1,24408.842677,17.086190,0.146738,3532335,8376318732
12,1,22548.046286,15.783632,0.187666,3371650,8140295897
16,1,23606.818319,16.524773,0.208513,3294057,8012391223
20,1,22546.457764,15.782520,0.221007,3250767,7831709018
24,1,25444.267386,17.810987,0.229103,3225492,8025480718
32,1,25681.549584,17.977085,0.239463,3198445,7852870553
48,1,24511.408210,17.157986,0.250121,3186556,7837661147
64,1,26642.754816,18.649928,0.255272,3198068,7790741555
128,1,24508.582516,17.156008,0.265175,3283583,7506342126
4,1,21704.786871,15.193351,0.028521,4011110,7676011358
8,1,23770.285261,16.639200,0.146615,3532843,8504378868
12,1,25617.975490,17.932583,0.187988,3370316,8158744694
16,1,23828.396063,16.679877,0.208311,3294900,8153083938
20,1,24519.278970,17.163495,0.220655,3252236,8103861999
24,1,24805.302169,17.363712,0.229190,3225130,7879656095
32,1,26587.375069,18.611163,0.239368,3198841,7908216979
48,1,23888.824520,16.722177,0.250643,3184336,7662889137
64,1,26237.363910,18.366155,0.255299,3197952,7887790928
128,1,27752.754213,19.426928,0.263924,3289174,8005244683
4,1,20692.223271,14.484556,0.029333,4007758,7593123656
8,1,23996.573091,16.797601,0.146563,3533059,8354342366
12,1,23414.322776,16.390026,0.187715,3371447,8274681683
16,1,25757.777270,18.030444,0.208338,3294784,7954112329
20,1,23307.856516,16.315500,0.220667,3252185,8006900358
24,1,25526.789253,17.868752,0.229319,3224590,7984992943
32,1,22411.768287,15.688238,0.240221,3195254,7593912412
48,1,24113.385451,16.879370,0.250429,3185246,7769229766
64,1,22227.277613,15.559094,0.256764,3191664,7391694471
128,1,24979.511837,17.485658,0.265243,3283280,7614647633
