threads,avg_latency_ns,avg_walltime_s,avg_IOs
1,5633.272453,5.633704,157975
2,10287.661538,5.151080,159510
4,16066.776859,4.018051,156727
8,26759.856946,3.347627,153399
16,33090.744217,2.070478,158551
32,45737.350429,1.431739,166297
64,49154.845421,0.774011,179557
128,71231.071350,0.570962,204669
256,160537.493995,0.681295,203682
512,287153.892423,0.622141,200937
1024,555024.039323,0.664632,193655
2048,944611.093306,0.757340,187414
4096,1042226.426700,0.820548,170111
8192,1464851.161858,0.976769,147807
16384,3214281.644000,1.444572,157009
