batch,avg_latency_ns,p50_ns,p95_ns,p99_ns,avg_walltime_s,avg_IOs,data_IO_time,hit_ratio
1,30311.345667,13701.000000,143782.000000,149584.000000,30.371281,140783,17231172132,0.862901
2,73748.913205,12691.000000,150287.000000,962222.000000,37.569046,140782,31018120701,0.862902
4,67164.025900,14412.000000,148326.000000,158948.000000,17.651768,140781,14361006215,0.862903
8,98073.921360,125265.000000,269897.000000,287144.000000,16.727428,140780,14422892399,0.862904
16,344190.323076,151964.000000,1175488.000000,5409262.000000,29.306676,140777,27046795074,0.862907
32,228715.728077,266949.000000,397700.000000,432628.000000,9.838052,140759,8166119367,0.862925
64,350715.546436,332895.000000,540519.000000,1211763.000000,7.572806,140739,5871666673,0.862944
128,456085.683714,468148.000000,682997.000000,820092.000000,5.283707,140709,3664071649,0.862973
256,647417.383925,687838.000000,918893.000000,1066644.000000,3.866961,140638,2544102886,0.863042
512,5620443.163620,5534844.000000,11521029.000000,12253431.000000,13.911691,140456,12256571758,0.863220
1024,4174824.126054,2438115.000000,12439761.000000,13202041.000000,5.557100,140083,3952108372,0.863583
2048,2632391.409988,2854352.000000,3378694.000000,3947573.000000,2.346568,139354,917686573,0.864293
4096,4212697.485486,4266440.000000,5985375.000000,9346768.000000,1.989595,138332,798486258,0.865288
1,28616.687291,11370.000000,141950.000000,147810.000000,28.657424,140783,17191642776,0.862901
2,46644.854192,13744.000000,149982.000000,169785.000000,23.966404,140782,16872486140,0.862902
4,101325.357587,17677.000000,164201.000000,973592.000000,26.783632,140781,22459272754,0.862903
8,146855.398081,130986.000000,286845.000000,1575772.000000,24.655240,140778,21891508940,0.862906
16,160086.054600,152113.000000,296671.000000,388521.000000,13.701717,140775,11520659020,0.862909
32,251155.062877,274777.000000,415279.000000,552589.000000,10.728581,140760,8765536696,0.862924
64,1161056.616878,391771.000000,5832327.000000,9033547.000000,23.039726,140739,20989608553,0.862944
128,473331.927555,467296.000000,697292.000000,2054162.000000,5.284935,140707,3908830176,0.862975
256,632919.850390,666803.000000,907686.000000,1058788.000000,3.833427,140619,2512472178,0.863061
512,1120500.187944,1091949.000000,1736059.000000,2730282.000000,4.200237,140501,2178497568,0.863176
1024,1603318.296002,1741356.000000,2121304.000000,2646087.000000,2.647723,140113,1341261493,0.863554
2048,2607664.284276,2787573.000000,3288073.000000,4184082.000000,2.283451,139312,939791405,0.864334
4096,4505103.765833,4747714.000000,6114094.000000,9431552.000000,2.036028,137910,751672165,0.865699
1,45309.135884,15089.000000,146885.000000,275951.000000,45.368585,140783,31412417539,0.862901
2,44439.876285,13020.000000,147248.000000,155424.000000,22.834345,140782,16257971590,0.862902
4,68569.223259,13920.000000,149561.000000,162266.000000,17.987348,140780,14782963868,0.862904
8,95556.745944,125140.000000,267893.000000,281322.000000,16.198865,140781,13933204758,0.862903
16,349152.987063,154614.000000,1325789.000000,5100917.000000,29.357337,140772,26968114504,0.862912
32,242468.652896,277615.000000,413010.000000,475706.000000,10.412926,140756,8452295154,0.862928
64,339451.882043,321213.000000,519492.000000,1222342.000000,7.267721,140741,5730756440,0.862942
128,441736.489806,458741.000000,659408.000000,771603.000000,4.959110,140706,3625622180,0.862976
256,4031413.432780,2833979.000000,10250246.000000,11818520.000000,19.350820,140626,17589827478,0.863054
512,1028961.180321,1078482.000000,1506343.000000,1751278.000000,3.339927,140490,1907928778,0.863187
1024,1768578.783960,1824496.000000,2631126.000000,3134105.000000,3.169790,140178,1390835865,0.863490
2048,2892924.924194,2992202.000000,4373538.000000,5349235.000000,2.589087,139390,978698063,0.864258
4096,4713788.347561,4875776.000000,7008856.000000,9554859.000000,2.339454,138366,811474496,0.865255
1,31615.084347,13936.000000,145890.000000,155598.000000,31.658570,140783,17890549117,0.862901
2,48949.583671,15765.000000,149716.000000,159058.000000,25.147283,140782,17429281830,0.862902
4,125391.223759,18315.000000,210476.000000,2199250.000000,32.809619,140780,28537081939,0.862904
8,99483.074866,133263.000000,270945.000000,292181.000000,16.718199,140777,14152415036,0.862907
