batch,avg_latency_ns,p50_ns,p95_ns,p99_ns,avg_walltime_s,avg_IOs,data_IO_time,hit_ratio
16,162215.622631,150265.000000,294335.000000,395919.000000,13.760722,140776,11908542327,0.862908
32,637704.566205,287475.000000,3114598.000000,6501403.000000,26.190671,140761,24224585246,0.862923
64,313709.927736,316622.000000,475371.000000,562395.000000,6.832815,140747,5351893989,0.862936
128,446587.630781,467985.000000,668478.000000,758529.000000,5.144475,140704,3616685319,0.862978
256,694347.024962,685502.000000,1058536.000000,2335501.000000,4.095467,140624,2794335985,0.863056
512,945492.527317,1016538.000000,1313126.000000,1572956.000000,3.042838,140474,1797450860,0.863202
1024,1526700.343283,1662829.000000,2011181.000000,2345408.000000,2.570357,140115,1285135014,0.863552
2048,5072296.546834,3041044.000000,12883211.000000,13868887.000000,3.624733,139239,2270771488,0.864405
4096,11839840.494440,12525848.000000,16252494.000000,17487181.000000,3.937018,137605,2625848803,0.865996
1,40606.388583,13906.000000,146825.000000,173672.000000,40.652424,140783,26909962103,0.862901
2,45491.111270,12928.000000,149354.000000,158087.000000,23.384605,140782,16817553377,0.862902
4,66511.361809,14083.000000,147725.000000,157701.000000,17.531840,140780,14340896542,0.862904
8,193490.639320,134398.000000,443340.000000,3063462.000000,32.414953,140779,29427401041,0.862905
16,162105.853904,153269.000000,300721.000000,393976.000000,13.825551,140774,11597120581,0.862910
32,244278.195199,272430.000000,407585.000000,541397.000000,10.472664,140761,8668788997,0.862923
64,328014.821122,326793.000000,513759.000000,620831.000000,7.114522,140733,5470853794,0.862950
128,2196289.248712,636493.000000,8645865.000000,10566551.000000,21.136779,140709,19351388876,0.862973
256,639303.626586,671097.000000,922025.000000,1082459.000000,3.865268,140626,2564311471,0.863054
512,951554.237051,1019864.000000,1328796.000000,1586137.000000,3.070587,140465,1784655230,0.863211
1024,1568997.181595,1702447.000000,2063622.000000,2372054.000000,2.596071,140099,1277515673,0.863567
2048,2656475.974141,2834588.000000,3475087.000000,3981326.000000,2.353755,139304,934657744,0.864342
4096,4524156.139889,4655904.000000,7013694.000000,7640518.000000,2.105700,138405,866197239,0.865217
