epsilon,threads,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s
16,1,3884809756.000000,3.884810,326039,1.620268
16,1,3751142051.000000,3.751142,326039,1.596507
16,1,3760732808.000000,3.760733,326039,1.597991
16,1,3783523319.000000,3.783523,326039,1.604141
16,1,3752649127.000000,3.752649,326039,1.573918
16,1,3865304840.000000,3.865305,326039,1.619012
16,1,3777715430.000000,3.777715,326039,1.590949
16,1,3824320066.000000,3.824320,326039,1.630369
16,1,3773118255.000000,3.773118,326039,1.595559
16,1,3808591739.000000,3.808592,326039,1.609849
