epsilon,threads,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s
16,1,2030987565.000000,2.030988,174476,0.856497
16,1,1945549124.000000,1.945549,174476,0.820150
16,1,1938214118.000000,1.938214,174476,0.818315
16,1,1932860205.000000,1.932860,174476,0.818445
16,1,1939552083.000000,1.939552,174476,0.822289
16,1,1945312603.000000,1.945313,174476,0.815114
16,1,1936515649.000000,1.936516,174476,0.816114
16,1,1942347358.000000,1.942347,174476,0.817181
16,1,1941197685.000000,1.941198,174476,0.819178
16,1,1930979074.000000,1.930979,174476,0.814488
