epsilon,avg_latency_ns,avg_walltime_s,avg_IOs,data_IO_time,hit_ratio
2,4843.787800,4.844078,144356,2541286510,0.665488
4,4248.932897,4.249249,72235,1917769447,0.830186
6,2715.320260,2.715564,49457,1675683027,0.884819
8,2756.604598,2.756894,38391,1528319630,0.909924
10,2859.466597,2.859678,31874,1625738900,0.926289
12,2489.971923,2.490255,27631,1338246784,0.936477
14,2769.997055,2.770232,24690,1597787295,0.944171
16,2344.178920,2.344472,22518,1152947937,0.949491
18,2196.482706,2.196675,20955,1027281019,0.953310
20,2117.382073,2.117672,19782,936603168,0.955675
24,2074.996076,2.075331,19532,903210246,0.956970
32,2103.252493,2.103567,19532,870976028,0.958426
48,2033.820473,2.034111,19532,871737012,0.960272
64,2031.876439,2.032201,19532,843081474,0.962675
128,2043.423594,2.043618,19532,850521567,0.968315
