threads,avg_latency_ns,avg_walltime_s,avg_IOs
1,7592.405957,7.592838,206832
2,12384.152411,6.205001,196503
4,20693.184986,5.385737,177301
8,31228.477650,3.916266,157979
16,37333.338529,2.335278,168811
32,45966.449687,1.443348,181025
64,94170.218489,1.514932,188107
128,138271.126146,1.129630,208397
256,257444.679083,1.049275,204898
512,474373.009160,0.989677,202924
1024,885407.756957,1.021814,193147
2048,1413236.656929,0.998469,185969
4096,1527809.482744,1.115245,161307
8192,1649720.366524,1.036354,137123
16384,3294633.468441,1.330264,150246
