baseline,producers,workers,latency_ns,wall_time_ns,avg_IOs,data_IO_time_ns,hit_ratio,index_time_ns,cache_time_ns
FALCON,1,1,387293.570368,4972227615,460095,3089969442,0.499546,133714053,3304886171
FALCON,2,1,577664.560764,3589090476,407601,2154580442,0.551890,182610107,2340910048
FALCON,4,1,1236079.911655,3044805726,366681,1318113503,0.598011,230101328,1480951945
FALCON,8,1,1951739.502076,3033570876,359193,1180649853,0.607546,306935695,1345991630
FALCON,16,1,4998636.000794,3313299722,344564,1245163464,0.627280,368314852,1428640400
FALCON,32,1,11433679.196470,2917934575,332344,1352932193,0.643230,371053774,1553922044
FALCON,64,1,29809193.102716,4009195562,325095,1524892643,0.651487,424921869,1758528532
FALCON,128,1,69299020.463403,4544502409,317466,2064388647,0.658912,478281024,2286522895
FALCON,1,2,390480.296914,3952099593,513810,6236770068,0.447922,251039470,6489752927
FALCON,2,2,473522.028004,2485793476,465851,3745893184,0.493898,396026386,3965238273
FALCON,4,2,690321.085101,1849319715,413390,2603052041,0.545772,444295408,2788567852
FALCON,8,2,1359775.621096,1518643986,377422,1882431331,0.586121,466624454,2061631879
FALCON,16,2,2693989.543993,1405979739,361756,1570557555,0.605768,555471138,1755589468
FALCON,32,2,5725542.939033,1465934777,350853,1452640060,0.619546,697590790,1652294849
FALCON,64,2,14776713.444666,1883383233,346613,1371809927,0.624770,985122882,1589114656
FALCON,128,2,27736993.693275,1771429747,335742,1569184641,0.638460,939045242,1786479120
FALCON,1,4,435971.917377,4062712175,586681,11440033334,0.378585,483575876,11730514926
FALCON,2,4,574494.692839,2590777543,555990,9200403416,0.407235,665837932,9446605453
FALCON,4,4,787250.749081,1875516219,466662,6254419063,0.493155,841268504,6467688688
FALCON,8,4,1048066.700241,1235263733,413856,3937808580,0.545381,937976348,4139258347
FALCON,16,4,1778133.050124,1030982834,382299,2960833297,0.579884,1432961264,3163368935
FALCON,32,4,3480693.462045,921654134,367395,2440884795,0.598527,1707727220,2646904505
FALCON,64,4,7205780.481996,931082070,356893,2063862905,0.611717,1847173824,2291804747
FALCON,128,4,15656996.939764,1008900388,348984,1906786651,0.621998,2866732020,2133169952
FALCON,1,8,500571.728774,5057398007,729274,30210449514,0.245808,1086457912,30551367498
FALCON,2,8,783464.346855,3330533649,672480,25549967294,0.297857,1156931480,25823599009
FALCON,4,8,1184904.682864,2518518323,554743,19078242469,0.408294,1663309400,19338139967
FALCON,8,8,1442831.237623,1553062700,467020,11409436707,0.492325,1913546592,11648228177
FALCON,16,8,2127627.447599,1149960311,412409,8145091753,0.546619,2734096792,8373096110
FALCON,32,8,3320633.892378,900606380,381448,6133599080,0.580181,3829929520,6347097953
FALCON,64,8,5723914.701612,769081124,364910,4762396468,0.601215,6221544840,4996473455
FALCON,128,8,11416629.855448,789845208,361750,4172905279,0.605912,19246982920,4454709458
FALCON,1,16,693061.515433,7375756073,860651,79618882134,0.125335,2199380256,80126617890
FALCON,2,16,1220833.817393,5180475796,792323,78476255177,0.187416,2867252816,78895897239
FALCON,4,16,1488850.602824,3120569633,671800,48634715885,0.298531,3388926720,48952491450
FALCON,8,16,2049147.723548,2176152027,558333,33642534729,0.405043,4573342896,33933037011
FALCON,16,16,3267136.161604,1714878869,467321,26319645941,0.492129,5406458368,26583866930
FALCON,32,16,5015944.443595,1321095536,413505,19970506295,0.545544,7136659312,20228399103
FALCON,64,16,7357323.769187,976348930,382591,14339166844,0.578964,13099001648,14598448152
FALCON,128,16,11403630.998257,878600872,373550,12101896037,0.590847,69112001648,12423101208
FALCON,1,32,765445.750256,9414658053,958182,162898551373,0.037347,4986828192,163758288231
FALCON,2,32,1547336.230570,7415793408,892242,178784401346,0.096712,7124853440,179523140387
FALCON,4,32,2435997.612033,5114717428,795085,156469360169,0.185049,7811508032,157021310349
FALCON,8,32,3173965.407783,3275650543,667010,102961597170,0.303078,9485554848,103404506476
FALCON,16,32,4328627.123956,2251347322,554511,70658247208,0.408686,13379532736,70982419831
FALCON,32,32,6492435.292064,1670062977,466315,52179480226,0.493109,13807627520,52472524225
FALCON,64,32,8923837.829202,1140059751,412077,35192484766,0.546944,14854104192,35472794679
FALCON,128,32,13554094.939978,927277403,384424,27843822125,0.576816,77593547360,28158884881
FALCON,1,64,631887.523979,10446588831,1000000,246229911260,0.000000,11810716032,247625244714
FALCON,2,64,1553518.738054,9253126897,959047,311937928787,0.036558,17316513856,313048031951
FALCON,4,64,3542900.194805,7607540407,912044,411366757247,0.078855,15600469440,412236198778
