threads,epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s,hit_rates
1,2,1306.905423,5.227622,341759,3.928587,0.254599
1,2,1437.354045,5.749416,341759,4.122806,0.254599
1,2,1389.676788,5.558707,341759,4.054437,0.254599
1,4,1386.762850,5.547051,342255,4.051601,0.256701
1,4,1309.703469,5.238814,342255,3.976358,0.256701
1,4,1274.819083,5.099276,342255,3.967465,0.256701
1,6,1287.932534,5.151730,342716,3.988611,0.258866
1,6,1261.798035,5.047192,342716,3.931153,0.258866
1,6,1299.959013,5.199836,342716,4.002953,0.258866
1,10,1295.873926,5.183496,343703,4.034952,0.263106
1,10,1278.475657,5.113903,343703,3.974349,0.263106
1,10,1294.960144,5.179841,343703,3.961768,0.263106
1,12,1284.796927,5.139188,344136,3.991357,0.265091
1,12,1278.286706,5.113147,344136,3.943162,0.265091
1,12,1267.793463,5.071174,344136,3.962815,0.265091
1,14,1306.340962,5.225364,344533,4.113686,0.267285
1,14,1296.028188,5.184113,344533,4.016120,0.267285
1,14,1741.022806,6.964091,344533,5.699758,0.267285
1,16,1690.526546,6.762106,345014,5.578655,0.269298
1,16,1448.480129,5.793921,345014,4.627615,0.269298
1,16,1266.491473,5.065966,345014,3.961105,0.269298
1,18,1299.637964,5.198552,345418,3.990533,0.271375
1,18,1286.363502,5.145454,345418,3.992154,0.271375
1,18,1289.653142,5.158613,345418,4.040084,0.271375
1,20,1320.915019,5.283660,345825,4.176505,0.273339
1,20,1280.280455,5.121122,345825,4.023382,0.273339
1,20,1279.408625,5.117635,345825,3.987574,0.273339
1,24,1298.414806,5.193659,346748,3.995016,0.277411
1,24,1294.292148,5.177169,346748,4.012805,0.277411
1,24,1283.973147,5.135893,346748,3.939984,0.277411
1,32,1259.484085,5.037936,348437,3.909728,0.285543
1,32,1268.928621,5.075714,348437,3.929579,0.285543
1,32,1280.581149,5.122325,348437,3.950214,0.285543
1,48,1263.398545,5.053594,351420,3.926000,0.301355
1,48,1265.116224,5.060465,351420,3.954882,0.301355
1,48,1285.215052,5.140860,351420,3.931309,0.301355
1,64,1267.035042,5.068140,354437,3.910843,0.316668
1,64,1344.787669,5.379151,354437,4.161371,0.316668
1,64,1698.390432,6.793562,354437,5.561313,0.316668
