epsilon,avg_latency_ns,total_wall_time_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,cache_hit_ratio
16,6001.017838,6.001408,998938,4.387171,1.614237,0.731024,0.268976,0.000847
16,5991.554298,5.991889,998958,4.374617,1.617271,0.730090,0.269910,0.000835
16,6403.729641,6.403973,998968,4.493888,1.910086,0.701734,0.298266,0.000834
16,5953.338047,5.953686,998966,4.300834,1.652852,0.722382,0.277618,0.000825
16,6158.070617,6.158372,998947,4.531545,1.626827,0.735835,0.264165,0.000844
16,5995.252947,5.995379,998959,4.361536,1.633843,0.727483,0.272517,0.000831
16,5910.571934,5.910782,998944,4.307568,1.603213,0.728765,0.271235,0.000838
16,6167.455981,6.167587,998952,4.602938,1.564649,0.746311,0.253689,0.000837
16,5920.771474,5.921076,998957,4.274359,1.646718,0.721889,0.278111,0.000831
16,6154.143572,6.154490,998941,4.508722,1.645768,0.732591,0.267409,0.000841
