epsilon,avg_latency_ns,avg_walltime_s,avg_IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,hit_ratio
4,3959.012751,2.771489,198504,1.775163,0.996326,0.640509,0.359491,0.718633
6,4265.459489,2.986232,178991,1.660943,1.325288,0.556200,0.443800,0.747064
8,3855.341129,2.698841,170165,1.647371,1.051471,0.610399,0.389601,0.760326
10,3727.281320,2.609438,165410,1.553459,1.055978,0.595323,0.404677,0.767712
12,3796.945136,2.658009,162624,1.557830,1.100179,0.586089,0.413911,0.772389
14,3759.437676,2.631814,160990,1.566784,1.065030,0.595325,0.404675,0.775369
16,3998.686007,2.799417,160129,1.608191,1.191226,0.574474,0.425526,0.777242
18,4038.422221,2.827174,159516,1.547500,1.279674,0.547366,0.452634,0.778803
20,4170.568356,2.919538,159397,1.712002,1.207536,0.586395,0.413605,0.779632
24,3771.090910,2.640014,159573,1.547587,1.092427,0.586204,0.413796,0.780761
32,3720.074510,2.604272,161332,1.510147,1.094125,0.579873,0.420127,0.780985
48,4362.764930,3.054222,167500,1.590987,1.463235,0.520914,0.479086,0.789717
64,3798.037233,2.658857,174967,1.528199,1.130658,0.574758,0.425242,0.794335
4,3966.060480,2.776511,198492,1.736777,1.039733,0.625525,0.374475,0.718650
6,3785.938854,2.650267,179002,1.611950,1.038317,0.608222,0.391778,0.747049
8,3912.532863,2.739013,170182,1.619039,1.119974,0.591103,0.408897,0.760302
10,3805.787334,2.664389,165412,1.597238,1.067151,0.599476,0.400524,0.767709
12,3791.917531,2.654471,162618,1.585372,1.069099,0.597246,0.402754,0.772397
14,3722.740054,2.606237,160990,1.530275,1.075962,0.587159,0.412841,0.775369
16,4033.741610,2.823834,160104,1.706375,1.117459,0.604276,0.395724,0.777276
18,3739.285327,2.617840,159529,1.551166,1.066673,0.592537,0.407463,0.778785
20,3761.177637,2.633075,159398,1.532836,1.100240,0.582146,0.417854,0.779631
24,3668.750900,2.568341,159562,1.489292,1.079049,0.579865,0.420135,0.780776
32,4137.718419,2.896516,161333,1.562930,1.333586,0.539590,0.460410,0.780984
48,3865.430016,2.705938,167490,1.556660,1.149277,0.575276,0.424724,0.789730
64,3692.033693,2.584688,174950,1.563488,1.021200,0.604904,0.395096,0.794355
4,3917.725403,2.742779,198497,1.754605,0.988174,0.639718,0.360282,0.718643
6,4367.988466,3.057812,179010,1.687610,1.370202,0.551901,0.448099,0.747037
8,4102.971933,2.872219,170182,1.594504,1.277716,0.555147,0.444853,0.760302
10,3926.254649,2.748476,165413,1.689812,1.058664,0.614818,0.385182,0.767708
12,3705.352911,2.593984,162622,1.560713,1.033271,0.601666,0.398334,0.772391
14,3704.063867,2.592978,160985,1.541887,1.051092,0.594639,0.405361,0.775376
16,3712.724346,2.599218,160120,1.547094,1.052124,0.595215,0.404785,0.777254
18,3963.558550,2.774732,159520,1.573751,1.200982,0.567172,0.432828,0.778798
20,4516.277984,3.161623,159405,1.582920,1.578703,0.500667,0.499333,0.779621
24,3828.092753,2.679790,159569,1.550879,1.128911,0.578732,0.421268,0.780767
32,3651.999394,2.556642,161343,1.547509,1.009133,0.605290,0.394710,0.780970
48,4542.316054,3.179835,167507,1.596323,1.583512,0.502014,0.497986,0.789708
64,4142.865743,2.900150,174971,1.595172,1.304978,0.550031,0.449969,0.794330
